77,c,hseqr,upper Hessenberg,full,http://www.netlib.org/lapack/complex/chseqr.f,,Schur factorization,77
78,z,hseqr,upper Hessenberg,full,http://www.netlib.org/lapack/complex16/zhseqr.f,,Schur factorization,78
79,s,hsein,upper Hessenberg,full,http://www.netlib.org/lapack/single/shsein.f,,eigenvectors using inverse iteration,79
80,d,hsein,upper Hessenberg,full,http://www.netlib.org/lapack/double/dhsein.f,,eigenvectors using inverse iteration,80
81,c,hsein,upper Hessenberg,full,http://www.netlib.org/lapack/complex/chsein.f,,eigenvectors using inverse iteration,81
82,z,hsein,upper Hessenberg,full,http://www.netlib.org/lapack/complex16/zhsein.f,,eigenvectors using inverse iteration,82
83,s,trevc,triangular,full,http://www.netlib.org/lapack/single/strevc.f,,eigenvectors,83
84,d,trevc,triangular,full,http://www.netlib.org/lapack/double/dtrevc.f,,eigenvectors,84
85,c,trevc,triangular,full,http://www.netlib.org/lapack/complex/ctrevc.f,,eigenvectors,85
86,z,trevc,triangular,full,http://www.netlib.org/lapack/complex16/ztrevc.f,,eigenvectors,86
87,s,trexc,triangular,full,http://www.netlib.org/lapack/single/strexc.f,,reorder Schur factorization,87
88,d,trexc,triangular,full,http://www.netlib.org/lapack/double/dtrexc.f,,reorder Schur factorization,88
89,c,trexc,triangular,full,http://www.netlib.org/lapack/complex/ctrexc.f,,reorder Schur factorization,89
90,z,trexc,triangular,full,http://www.netlib.org/lapack/complex16/ztrexc.f,,reorder Schur factorization,90
91,s,trsyl,triangular,full,http://www.netlib.org/lapack/single/strsyl.f,,Sylvester equation,91
92,d,trsyl,triangular,full,http://www.netlib.org/lapack/double/dtrsyl.f,,Sylvester equation,92
93,c,trsyl,triangular,full,http://www.netlib.org/lapack/complex/ctrsyl.f,,Sylvester equation,93
94,z,trsyl,triangular,full,http://www.netlib.org/lapack/complex16/ztrsyl.f,,Sylvester equation,94
95,s,trsna,triangular,full,http://www.netlib.org/lapack/single/strsna.f,,condition numbers,95
96,d,trsna,triangular,full,http://www.netlib.org/lapack/double/dtrsna.f,,condition numbers,96
97,c,trsna,triangular,full,http://www.netlib.org/lapack/complex/ctrsna.f,,condition numbers,97
98,z,trsna,triangular,full,http://www.netlib.org/lapack/complex16/ztrsna.f,,condition numbers,98
99,s,trsen,triangular,full,http://www.netlib.org/lapack/single/strsen.f,,condition numbers of eigenvalue cluster/subspace,99
100,d,trsen,triangular,full,http://www.netlib.org/lapack/double/dtrsen.f,,condition numbers of eigenvalue cluster/subspace,100
101,c,trsen,triangular,full,http://www.netlib.org/lapack/complex/ctrsen.f,,condition numbers of eigenvalue cluster/subspace,101
102,z,trsen,triangular,full,http://www.netlib.org/lapack/complex16/ztrsen.f,,condition numbers of eigenvalue cluster/subspace,102
103,s,gebrd,general,full,http://www.netlib.org/lapack/single/sgebrd.f,,reduce to bidiagonal form,103
104,d,gebrd,general,full,http://www.netlib.org/lapack/double/dgebrd.f,,reduce to bidiagonal form,104
105,c,gebrd,general,full,http://www.netlib.org/lapack/complex/cgebrd.f,,reduce to bidiagonal form,105
106,z,gebrd,general,full,http://www.netlib.org/lapack/complex16/zgebrd.f,,reduce to bidiagonal form,106
107,s,gbbrd,general,banded,http://www.netlib.org/lapack/single/sgbbrd.f,,reduce to bidiagonal form,107
108,d,gbbrd,general,banded,http://www.netlib.org/lapack/double/dgbbrd.f,,reduce to bidiagonal form,108
109,c,gbbrd,general,banded,http://www.netlib.org/lapack/complex/cgbbrd.f,,reduce to bidiagonal form,109
110,z,gbbrd,general,banded,http://www.netlib.org/lapack/complex16/zgbbrd.f,,reduce to bidiagonal form,110
111,s,orgbr,orthogonal,full,http://www.netlib.org/lapack/single/sorgbr.f,,generate matrix after -hrd,111
112,d,orgbr,orthogonal,full,http://www.netlib.org/lapack/double/dorgbr.f,,generate matrix after -hrd,112
113,c,ungbr,unitary,full,http://www.netlib.org/lapack/complex/cungbr.f,,generate matrix after -hrd,113
114,z,ungbr,unitary,full,http://www.netlib.org/lapack/complex16/zungbr.f,,generate matrix after -hrd,114
115,s,ormbr,orthogonal,full,http://www.netlib.org/lapack/single/sormbr.f,,multiply by matrix after -hrd,115
116,d,ormbr,orthogonal,full,http://www.netlib.org/lapack/double/dormbr.f,,multiply by matrix after -hrd,116
117,c,unmbr,unitary,full,http://www.netlib.org/lapack/complex/cunmbr.f,,multiply by matrix after -hrd,117
118,z,unmbr,unitary,full,http://www.netlib.org/lapack/complex16/zunmbr.f,,multiply by matrix after -hrd,118
119,s,gghrd,general,full,http://www.netlib.org/lapack/single/sgghrd.f,,"generalized nonsymmetric eigenvalue, Hessenberg reduction",119
120,d,gghrd,general,full,http://www.netlib.org/lapack/double/dgghrd.f,,"generalized nonsymmetric eigenvalue, Hessenberg reduction",120
121,c,gghrd,general,full,http://www.netlib.org/lapack/complex/cgghrd.f,,"generalized nonsymmetric eigenvalue, Hessenberg reduction",121
122,z,gghrd,general,full,http://www.netlib.org/lapack/complex16/zgghrd.f,,"generalized nonsymmetric eigenvalue, Hessenberg reduction",122
123,s,ggbal,general,full,http://www.netlib.org/lapack/single/sggbal.f,,"generalized nonsymmetric eigenvalue, balance matrix",123
124,d,ggbal,general,full,http://www.netlib.org/lapack/double/dggbal.f,,"generalized nonsymmetric eigenvalue, balance matrix",124
125,c,ggbal,general,full,http://www.netlib.org/lapack/complex/cggbal.f,,"generalized nonsymmetric eigenvalue, balance matrix",125
126,z,ggbal,general,full,http://www.netlib.org/lapack/complex16/zggbal.f,,"generalized nonsymmetric eigenvalue, balance matrix",126
127,s,ggbak,general,full,http://www.netlib.org/lapack/single/sggbak.f,,"generalized nonsymmetric eigenvalue, back transforming",127
128,d,ggbak,general,full,http://www.netlib.org/lapack/double/dggbak.f,,"generalized nonsymmetric eigenvalue, back transforming",128
129,c,ggbak,general,full,http://www.netlib.org/lapack/complex/cggbak.f,,"generalized nonsymmetric eigenvalue, back transforming",129
130,z,ggbak,general,full,http://www.netlib.org/lapack/complex16/zggbak.f,,"generalized nonsymmetric eigenvalue, back transforming",130
131,s,hgeqz,upper Hessenberg,full,http://www.netlib.org/lapack/single/shgeqz.f,,generalized nonsymmetric eigenvalues,131
132,d,hgeqz,upper Hessenberg,full,http://www.netlib.org/lapack/double/dhgeqz.f,,generalized nonsymmetric eigenvalues,132
133,c,hgeqz,upper Hessenberg,full,http://www.netlib.org/lapack/complex/chgeqz.f,,generalized nonsymmetric eigenvalues,133
134,z,hgeqz,upper Hessenberg,full,http://www.netlib.org/lapack/complex16/zhgeqz.f,,"generalized nonsymmetric eigenvalue, eigenvalues",134
135,s,tgevc,triangular,full,http://www.netlib.org/lapack/single/stgevc.f, ,"generalized nonsymmetric eigenvalue, eigenvectors",135
136,d,tgevc,triangular,full,http://www.netlib.org/lapack/double/dtgevc.f, ,"generalized nonsymmetric eigenvalue, eigenvectors",136
137,c,tgevc,triangular,full,http://www.netlib.org/lapack/complex/ctgevc.f, ,"generalized nonsymmetric eigenvalue, eigenvectors",137
138,z,tgevc,triangular,full,http://www.netlib.org/lapack/complex16/ztgevc.f, ,"generalized nonsymmetric eigenvalue, eigenvectors",138
139,s,tgexc,triangular,full,http://www.netlib.org/lapack/single/stgexc.f,,"generalized nonsymmetric eigenvalue, reorder Schur factorization",139
