 UpperBW, MinNNZperRow, ColLogValSpread, RowDiagDominance, NumRows, LowerBW, DummyRows, DummyRowsKind, NumCols, SymmetricFrobeniusNorm, Trace, AntiSymmetricInfinityNorm, NNZPatternSymmetry1, NumericValueSymmetry2, InfinityNorm, Symmetric, AntiSymmetricFrobeniusNorm, DiagAverage, SymmetricInfinityNorm, FrobeniusNorm, AbsTrace, DiagVariance, ColDiagDominancy, ColVariance, AvgNNZperRow, RowLogValSpread, MaxNNZperRow, RowVariance, NNZPatternSymmetry2, DiagSign, DiagNNZ, Nonzeros, OneNorm, NumericValueSymmetry1, time, solver,matrix_name, class,rank
3,4,8.119,0,20002,3,0,0,20002,6.64E+09,5.81E+11,19895.2,0,0.999862,1.03E+08,0,870849,2.90E+07,1.03E+08,6.64E+09,5.81E+11,1.36E+15,0,5.05E+11,5,8.11898,6,5.05E+11,0.999724,2,20002,120004,1.03E+08,0,0.0007081,45869640,direct_10_11_1,good,1
3,4,8.119,0,20002,3,0,0,20002,6.64E+09,5.81E+11,19895.2,0,0.999862,1.03E+08,0,870849,2.90E+07,1.03E+08,6.64E+09,5.81E+11,1.36E+15,0,5.05E+11,5,8.11898,6,5.05E+11,0.999724,2,20002,120004,1.03E+08,0,0.00078678,13323659,direct_10_11_1,good,2
3,4,8.119,0,20002,3,0,0,20002,6.64E+09,5.81E+11,19895.2,0,0.999862,1.03E+08,0,870849,2.90E+07,1.03E+08,6.64E+09,5.81E+11,1.36E+15,0,5.05E+11,5,8.11898,6,5.05E+11,0.999724,2,20002,120004,1.03E+08,0,0.0013313,12321508,direct_10_11_1,bad,3
3,4,7.42846,0,20002,3,0,0,20002,6.64E+09,5.81E+11,19894.7,0,0.999862,1.03E+08,0,870763,2.90E+07,1.03E+08,6.64E+09,5.81E+11,1.36E+15,0,5.06E+11,5,7.42848,6,5.06E+11,0.999724,2,20002,120004,1.03E+08,0,0.00079274,13323659,direct_10_2_1,good,1
3,4,7.42846,0,20002,3,0,0,20002,6.64E+09,5.81E+11,19894.7,0,0.999862,1.03E+08,0,870763,2.90E+07,1.03E+08,6.64E+09,5.81E+11,1.36E+15,0,5.06E+11,5,7.42848,6,5.06E+11,0.999724,2,20002,120004,1.03E+08,0,0.0013461,12321508,direct_10_2_1,bad,2
3,4,8.53364,0,20002,3,0,0,20002,6.64E+09,5.81E+11,19894.8,0,0.999862,1.03E+08,0,870771,2.90E+07,1.03E+08,6.64E+09,5.81E+11,1.36E+15,0,5.05E+11,5,8.53363,6,5.05E+11,0.999724,2,20002,120004,1.03E+08,0,0.00081587,13323659,direct_10_3_1,good,1
3,4,8.53364,0,20002,3,0,0,20002,6.64E+09,5.81E+11,19894.8,0,0.999862,1.03E+08,0,870771,2.90E+07,1.03E+08,6.64E+09,5.81E+11,1.36E+15,0,5.05E+11,5,8.53363,6,5.05E+11,0.999724,2,20002,120004,1.03E+08,0,0.0013444,12321508,direct_10_3_1,bad,2
3,4,6.79361,0,20002,3,0,0,20002,6.64E+09,5.81E+11,19894.8,0,0.999862,1.03E+08,0,870780,2.90E+07,1.03E+08,6.64E+09,5.81E+11,1.36E+15,0,5.05E+11,5,6.79363,6,5.05E+11,0.999724,2,20002,120004,1.03E+08,0,3.10E-05,75830646,direct_10_4_1,good,1
3,4,6.79361,0,20002,3,0,0,20002,6.64E+09,5.81E+11,19894.8,0,0.999862,1.03E+08,0,870780,2.90E+07,1.03E+08,6.64E+09,5.81E+11,1.36E+15,0,5.05E+11,5,6.79363,6,5.05E+11,0.999724,2,20002,120004,1.03E+08,0,0.00080514,13323659,direct_10_4_1,bad,2
3,4,6.79361,0,20002,3,0,0,20002,6.64E+09,5.81E+11,19894.8,0,0.999862,1.03E+08,0,870780,2.90E+07,1.03E+08,6.64E+09,5.81E+11,1.36E+15,0,5.05E+11,5,6.79363,6,5.05E+11,0.999724,2,20002,120004,1.03E+08,0,0.0013416,12321508,direct_10_4_1,bad,3
3,4,7.91711,0,20002,3,0,0,20002,6.64E+09,5.81E+11,19894.9,0,0.999862,1.03E+08,0,870789,2.90E+07,1.03E+08,6.64E+09,5.81E+11,1.36E+15,0,5.05E+11,5,7.91709,6,5.05E+11,0.999724,2,20002,120004,1.03E+08,0,0.00079584,13323659,direct_10_5_1,good,1
3,4,7.91711,0,20002,3,0,0,20002,6.64E+09,5.81E+11,19894.9,0,0.999862,1.03E+08,0,870789,2.90E+07,1.03E+08,6.64E+09,5.81E+11,1.36E+15,0,5.05E+11,5,7.91709,6,5.05E+11,0.999724,2,20002,120004,1.03E+08,0,0.0013204,12321508,direct_10_5_1,bad,2
3,4,6.95876,0,20002,3,0,0,20002,6.64E+09,5.81E+11,19894.9,0,0.999862,1.03E+08,0,870798,2.90E+07,1.03E+08,6.64E+09,5.81E+11,1.36E+15,0,5.05E+11,5,6.95874,6,5.05E+11,0.999724,2,20002,120004,1.03E+08,0,0.00080276,13323659,direct_10_6_1,good,1
3,4,6.95876,0,20002,3,0,0,20002,6.64E+09,5.81E+11,19894.9,0,0.999862,1.03E+08,0,870798,2.90E+07,1.03E+08,6.64E+09,5.81E+11,1.36E+15,0,5.05E+11,5,6.95874,6,5.05E+11,0.999724,2,20002,120004,1.03E+08,0,0.001359,12321508,direct_10_6_1,bad,2
3,4,5.90644,0,20002,3,0,0,20002,6.64E+09,5.81E+11,19895,0,0.999862,1.03E+08,0,870808,2.90E+07,1.03E+08,6.64E+09,5.81E+11,1.36E+15,0,5.05E+11,5,5.90645,6,5.05E+11,0.999724,2,20002,120004,1.03E+08,0,0.0007956,13323659,direct_10_7_1,good,1
3,4,6.26481,0,20002,3,0,0,20002,6.64E+09,5.81E+11,19895,0,0.999862,1.03E+08,0,870819,2.90E+07,1.03E+08,6.64E+09,5.81E+11,1.36E+15,0,5.05E+11,5,6.26482,6,5.05E+11,0.999724,2,20002,120004,1.03E+08,0,0.00079989,13323659,direct_10_8_1,good,1
3,4,6.26481,0,20002,3,0,0,20002,6.64E+09,5.81E+11,19895,0,0.999862,1.03E+08,0,870819,2.90E+07,1.03E+08,6.64E+09,5.81E+11,1.36E+15,0,5.05E+11,5,6.26482,6,5.05E+11,0.999724,2,20002,120004,1.03E+08,0,0.0015757,12321508,direct_10_8_1,bad,2
3,4,6.68326,0,20002,3,0,0,20002,6.64E+09,5.81E+11,19895.1,0,0.999862,1.03E+08,0,870829,2.90E+07,1.03E+08,6.64E+09,5.81E+11,1.36E+15,0,5.05E+11,5,6.68327,6,5.05E+11,0.999724,2,20002,120004,1.03E+08,0,0.00071812,45869640,direct_10_9_1,good,1
3,4,6.68326,0,20002,3,0,0,20002,6.64E+09,5.81E+11,19895.1,0,0.999862,1.03E+08,0,870829,2.90E+07,1.03E+08,6.64E+09,5.81E+11,1.36E+15,0,5.05E+11,5,6.68327,6,5.05E+11,0.999724,2,20002,120004,1.03E+08,0,0.00079393,13323659,direct_10_9_1,good,2
3,4,6.68326,0,20002,3,0,0,20002,6.64E+09,5.81E+11,19895.1,0,0.999862,1.03E+08,0,870829,2.90E+07,1.03E+08,6.64E+09,5.81E+11,1.36E+15,0,5.05E+11,5,6.68327,6,5.05E+11,0.999724,2,20002,120004,1.03E+08,0,0.001364,12321508,direct_10_9_1,bad,3
3,4,7.96209,0,20002,3,0,0,20002,6.64E+09,5.81E+11,19895.2,0,0.999862,1.03E+08,0,870858,2.90E+07,1.03E+08,6.64E+09,5.81E+11,1.36E+15,0,5.05E+11,5,7.96207,6,5.05E+11,0.999724,2,20002,120004,1.03E+08,0,0.00046849,30870720,direct_11_1_1,good,1
3,4,7.96209,0,20002,3,0,0,20002,6.64E+09,5.81E+11,19895.2,0,0.999862,1.03E+08,0,870858,2.90E+07,1.03E+08,6.64E+09,5.81E+11,1.36E+15,0,5.05E+11,5,7.96207,6,5.05E+11,0.999724,2,20002,120004,1.03E+08,0,0.00079656,13323659,direct_11_1_1,bad,2
3,4,7.96209,0,20002,3,0,0,20002,6.64E+09,5.81E+11,19895.2,0,0.999862,1.03E+08,0,870858,2.90E+07,1.03E+08,6.64E+09,5.81E+11,1.36E+15,0,5.05E+11,5,7.96207,6,5.05E+11,0.999724,2,20002,120004,1.03E+08,0,0.0013294,12321508,direct_11_1_1,bad,3
3,4,7.05594,0,20002,3,0,0,20002,6.64E+09,5.81E+11,19895.3,0,0.999862,1.03E+08,0,870867,2.90E+07,1.03E+08,6.64E+09,5.81E+11,1.36E+15,0,5.05E+11,5,7.05592,6,5.05E+11,0.999724,2,20002,120004,1.03E+08,0,3.48E-05,75830646,direct_11_2_1,good,1
3,4,7.05594,0,20002,3,0,0,20002,6.64E+09,5.81E+11,19895.3,0,0.999862,1.03E+08,0,870867,2.90E+07,1.03E+08,6.64E+09,5.81E+11,1.36E+15,0,5.05E+11,5,7.05592,6,5.05E+11,0.999724,2,20002,120004,1.03E+08,0,0.00079727,13323659,direct_11_2_1,bad,2
3,4,6.7546,0,20002,3,0,0,20002,6.64E+09,5.81E+11,19895.3,0,0.999862,1.03E+08,0,870877,2.90E+07,1.03E+08,6.64E+09,5.81E+11,1.36E+15,0,5.05E+11,5,6.75458,6,5.05E+11,0.999724,2,20002,120004,1.03E+08,0,0.00079846,13323659,direct_11_3_1,good,1
3,4,6.7546,0,20002,3,0,0,20002,6.64E+09,5.81E+11,19895.3,0,0.999862,1.03E+08,0,870877,2.90E+07,1.03E+08,6.64E+09,5.81E+11,1.36E+15,0,5.05E+11,5,6.75458,6,5.05E+11,0.999724,2,20002,120004,1.03E+08,0,0.0013347,12321508,direct_11_3_1,bad,2
3,4,7.20331,0,20002,3,0,0,20002,6.64E+09,5.81E+11,19895.4,0,0.999862,1.03E+08,0,870887,2.90E+07,1.03E+08,6.64E+09,5.81E+11,1.36E+15,0,5.04E+11,5,7.2033,6,5.04E+11,0.999724,2,20002,120004,1.03E+08,0,0.00080419,13323659,direct_11_4_1,good,1
3,4,7.20331,0,20002,3,0,0,20002,6.64E+09,5.81E+11,19895.4,0,0.999862,1.03E+08,0,870887,2.90E+07,1.03E+08,6.64E+09,5.81E+11,1.36E+15,0,5.04E+11,5,7.2033,6,5.04E+11,0.999724,2,20002,120004,1.03E+08,0,0.0013363,12321508,direct_11_4_1,bad,2
3,4,6.5484,0,20002,3,0,0,20002,6.64E+09,5.81E+11,19895.5,0,0.999862,1.03E+08,0,870897,2.90E+07,1.03E+08,6.64E+09,5.81E+11,1.36E+15,0,5.04E+11,5,6.54839,6,5.04E+11,0.999724,2,20002,120004,1.03E+08,0,0.00073862,45869640,direct_11_5_1,good,1
3,4,6.5484,0,20002,3,0,0,20002,6.64E+09,5.81E+11,19895.5,0,0.999862,1.03E+08,0,870897,2.90E+07,1.03E+08,6.64E+09,5.81E+11,1.36E+15,0,5.04E+11,5,6.54839,6,5.04E+11,0.999724,2,20002,120004,1.03E+08,0,0.00079393,13323659,direct_11_5_1,good,2
3,4,6.5484,0,20002,3,0,0,20002,6.64E+09,5.81E+11,19895.5,0,0.999862,1.03E+08,0,870897,2.90E+07,1.03E+08,6.64E+09,5.81E+11,1.36E+15,0,5.04E+11,5,6.54839,6,5.04E+11,0.999724,2,20002,120004,1.03E+08,0,0.0013587,12321508,direct_11_5_1,bad,3
3,4,6.26224,0,20002,3,0,0,20002,6.64E+09,5.81E+11,19895.5,0,0.999862,1.03E+08,0,870908,2.90E+07,1.03E+08,6.64E+09,5.81E+11,1.36E+15,0,5.04E+11,5,6.26223,6,5.04E+11,0.999724,2,20002,120004,1.03E+08,0,0.00080109,13323659,direct_11_6_1,good,1
3,4,6.26224,0,20002,3,0,0,20002,6.64E+09,5.81E+11,19895.5,0,0.999862,1.03E+08,0,870908,2.90E+07,1.03E+08,6.64E+09,5.81E+11,1.36E+15,0,5.04E+11,5,6.26223,6,5.04E+11,0.999724,2,20002,120004,1.03E+08,0,0.0015626,12321508,direct_11_6_1,bad,2
3,4,6.03691,0,20002,3,0,0,20002,6.64E+09,5.81E+11,19895.6,0,0.999862,1.03E+08,0,870919,2.90E+07,1.03E+08,6.64E+09,5.81E+11,1.36E+15,0,5.04E+11,5,6.03689,6,5.04E+11,0.999724,2,20002,120004,1.03E+08,0,0.00079918,13323659,direct_11_7_1,good,1
3,4,6.03691,0,20002,3,0,0,20002,6.64E+09,5.81E+11,19895.6,0,0.999862,1.03E+08,0,870919,2.90E+07,1.03E+08,6.64E+09,5.81E+11,1.36E+15,0,5.04E+11,5,6.03689,6,5.04E+11,0.999724,2,20002,120004,1.03E+08,0,0.0013278,12321508,direct_11_7_1,bad,2
3,4,6.82646,0,20002,3,0,0,20002,6.64E+09,5.80E+11,19895.7,0,0.999862,1.03E+08,0,870936,2.90E+07,1.03E+08,6.64E+09,5.80E+11,1.36E+15,0,5.04E+11,5,6.82645,6,5.04E+11,0.999724,2,20002,120004,1.03E+08,0,0.00079346,13323659,direct_11_8_1,good,1
3,4,6.82646,0,20002,3,0,0,20002,6.64E+09,5.80E+11,19895.7,0,0.999862,1.03E+08,0,870936,2.90E+07,1.03E+08,6.64E+09,5.80E+11,1.36E+15,0,5.04E+11,5,6.82645,6,5.04E+11,0.999724,2,20002,120004,1.03E+08,0,0.0013587,12321508,direct_11_8_1,bad,2
3,4,6.82697,0,20002,3,0,0,20002,6.64E+09,5.80E+11,19895.7,0,0.999862,1.03E+08,0,870935,2.90E+07,1.03E+08,6.64E+09,5.80E+11,1.36E+15,0,5.04E+11,5,6.82696,6,5.04E+11,0.999724,2,20002,120004,1.03E+08,0,0.00079393,13323659,direct_11_9_1,good,1
3,4,6.82697,0,20002,3,0,0,20002,6.64E+09,5.80E+11,19895.7,0,0.999862,1.03E+08,0,870935,2.90E+07,1.03E+08,6.64E+09,5.80E+11,1.36E+15,0,5.04E+11,5,6.82696,6,5.04E+11,0.999724,2,20002,120004,1.03E+08,0,0.0013831,12321508,direct_11_9_1,bad,2
3,4,6.23007,0,20002,3,0,0,20002,6.64E+09,5.80E+11,19895.8,0,0.999862,1.03E+08,0,870941,2.90E+07,1.03E+08,6.64E+09,5.80E+11,1.36E+15,0,5.04E+11,5,6.23009,6,5.04E+11,0.999724,2,20002,120004,1.03E+08,0,0.0015404,13323659,direct_12_1_1,good,1
3,4,6.41852,0,20002,3,0,0,20002,6.64E+09,5.80E+11,19896.3,0,0.999862,1.03E+08,0,870987,2.90E+07,1.03E+08,6.64E+09,5.80E+11,1.36E+15,0,5.03E+11,5,6.41853,6,5.03E+11,0.999724,2,20002,120004,1.03E+08,0,3.10E-05,75830646,direct_12_10_1,good,1
3,4,6.41852,0,20002,3,0,0,20002,6.64E+09,5.80E+11,19896.3,0,0.999862,1.03E+08,0,870987,2.90E+07,1.03E+08,6.64E+09,5.80E+11,1.36E+15,0,5.03E+11,5,6.41853,6,5.03E+11,0.999724,2,20002,120004,1.03E+08,0,0.00078702,13323659,direct_12_10_1,bad,2
3,4,6.41852,0,20002,3,0,0,20002,6.64E+09,5.80E+11,19896.3,0,0.999862,1.03E+08,0,870987,2.90E+07,1.03E+08,6.64E+09,5.80E+11,1.36E+15,0,5.03E+11,5,6.41853,6,5.03E+11,0.999724,2,20002,120004,1.03E+08,0,0.00084233,95762355,direct_12_10_1,bad,3
3,4,6.41852,0,20002,3,0,0,20002,6.64E+09,5.80E+11,19896.3,0,0.999862,1.03E+08,0,870987,2.90E+07,1.03E+08,6.64E+09,5.80E+11,1.36E+15,0,5.03E+11,5,6.41853,6,5.03E+11,0.999724,2,20002,120004,1.03E+08,0,0.0013227,12321508,direct_12_10_1,bad,4
3,4,6.41863,0,20002,3,0,0,20002,6.64E+09,5.80E+11,19896.3,0,0.999862,1.03E+08,0,870987,2.90E+07,1.03E+08,6.64E+09,5.80E+11,1.36E+15,0,5.03E+11,5,6.41864,6,5.03E+11,0.999724,2,20002,120004,1.03E+08,0,0.00081778,13323659,direct_12_11_1,good,1
3,4,6.41863,0,20002,3,0,0,20002,6.64E+09,5.80E+11,19896.3,0,0.999862,1.03E+08,0,870987,2.90E+07,1.03E+08,6.64E+09,5.80E+11,1.36E+15,0,5.03E+11,5,6.41864,6,5.03E+11,0.999724,2,20002,120004,1.03E+08,0,0.001328,12321508,direct_12_11_1,bad,2
3,4,6.43997,0,20002,3,0,0,20002,6.64E+09,5.80E+11,19895.8,0,0.999862,1.03E+08,0,870945,2.90E+07,1.03E+08,6.64E+09,5.80E+11,1.36E+15,0,5.04E+11,5,6.43998,6,5.04E+11,0.999724,2,20002,120004,1.03E+08,0,0.00079012,13323659,direct_12_2_1,good,1
3,4,6.56332,0,20002,3,0,0,20002,6.64E+09,5.80E+11,19895.9,0,0.999862,1.03E+08,0,870950,2.90E+07,1.03E+08,6.64E+09,5.80E+11,1.36E+15,0,5.04E+11,5,6.56332,6,5.04E+11,0.999724,2,20002,120004,1.03E+08,0,3.81E-05,75830646,direct_12_3_1,good,1
3,4,6.56332,0,20002,3,0,0,20002,6.64E+09,5.80E+11,19895.9,0,0.999862,1.03E+08,0,870950,2.90E+07,1.03E+08,6.64E+09,5.80E+11,1.36E+15,0,5.04E+11,5,6.56332,6,5.04E+11,0.999724,2,20002,120004,1.03E+08,0,0.00079918,13323659,direct_12_3_1,bad,2
3,4,6.56332,0,20002,3,0,0,20002,6.64E+09,5.80E+11,19895.9,0,0.999862,1.03E+08,0,870950,2.90E+07,1.03E+08,6.64E+09,5.80E+11,1.36E+15,0,5.04E+11,5,6.56332,6,5.04E+11,0.999724,2,20002,120004,1.03E+08,0,0.0013244,12321508,direct_12_3_1,bad,3
3,4,7.09585,0,20002,3,0,0,20002,6.64E+09,5.80E+11,19895.9,0,0.999862,1.03E+08,0,870953,2.90E+07,1.03E+08,6.64E+09,5.80E+11,1.36E+15,0,5.04E+11,5,7.09584,6,5.04E+11,0.999724,2,20002,120004,1.03E+08,0,0.00079632,13323659,direct_12_4_1,good,1
3,4,7.09585,0,20002,3,0,0,20002,6.64E+09,5.80E+11,19895.9,0,0.999862,1.03E+08,0,870953,2.90E+07,1.03E+08,6.64E+09,5.80E+11,1.36E+15,0,5.04E+11,5,7.09584,6,5.04E+11,0.999724,2,20002,120004,1.03E+08,0,0.0013371,12321508,direct_12_4_1,bad,2
