avg-diag-dist,norm1,col-variability,min-nnzeros-per-row,row-variability,kappa,time,solver,matrix_name,predicted_class,actual_class,default_time,Time Difference,Comparison,SpeedUp
2154.625,16.8037,6.886057,7,6.886057,71.72423,37052868,0.000089,viscoplastic1_C_2,good,good,0.040066,-99.78,-99.78 % less time of default solver time,450.1797753
2344.653,572.4558,8.38811,2,8.089644,32.02051,37052868,0.001271,jan99jac120sc,good,good,0.53986,-99.76,-99.76 % less time of default solver time,424.7521637
2154.625,166.4818,7.886057,7,7.886057,71.69448,37052868,0.000089,viscoplastic1_C_3,good,good,0.033181,-99.73,-99.73 % less time of default solver time,372.8202247
2154.625,16631.07,9.886057,7,9.886057,71.67773,37052868,0.000089,viscoplastic1_C_5,good,good,0.033076,-99.73,-99.73 % less time of default solver time,371.6404494
2154.625,1663.263,8.886057,7,8.886057,71.63297,37052868,0.000089,viscoplastic1_C_4,good,good,0.032908,-99.73,-99.73 % less time of default solver time,369.752809
2154.625,1663090,11.88606,7,11.88606,11.64659,37052868,0.000089,viscoplastic1_C_7,good,good,0.032767,-99.73,-99.73 % less time of default solver time,368.1685393
2154.625,166309.2,10.88606,7,10.88606,8.87634,37052868,0.000097,viscoplastic1_C_6,good,good,0.032588,-99.7,-99.7 % less time of default solver time,335.9587629
103.1031,46.90039,18.76616,9,18.76616,57.36077,37052868,0.000206,cavity07,good,good,0.057844,-99.64,-99.64 % less time of default solver time,280.7961165
16291.27,8141.743,11,5,11,173.3017,37052868,0.00064,viscoplastic2_C_5,good,good,0.17968,-99.64,-99.64 % less time of default solver time,280.75
16291.27,814.2132,10,5,10,173.2792,37052868,0.000641,viscoplastic2_C_4,good,good,0.17054,-99.62,-99.62 % less time of default solver time,266.0530421
2276.313,386.2931,5.590216,2,5.090156,34.01407,37052868,0.000367,jan99jac040sc,good,good,0.069728,-99.47,-99.47 % less time of default solver time,189.9945504
215.1551,36.81352,18.46949,1,18.46949,74.07946,37052868,0.005832,cavity23,good,good,1.0435,-99.44,-99.44 % less time of default solver time,178.9266118
16291.27,81.4602,9,5,9,173.334,37052868,0.000786,viscoplastic2_C_3,good,good,0.13963,-99.44,-99.44 % less time of default solver time,177.6463104
6721.188,80570.55,17.32272,2,17.9674,6.470739,37052868,0.000558,g7jac050sc,good,good,0.098392,-99.43,-99.43 % less time of default solver time,176.3297491
89.06944,3.232785,25.08429,1,25.08429,473.4939,37052868,0.000081,utm3060,good,good,0.014253,-99.43,-99.43 % less time of default solver time,175.962963
69.28571,17593.46,27.07343,1,27.07248,50383.9,37052868,0.000072,cz1268,good,good,0.012165,-99.41,-99.41 % less time of default solver time,168.9583333
2344.653,572.4558,8.68914,2,8.089644,32.01019,37052868,0.001063,jan99jac100sc,good,good,0.1683,-99.37,-99.37 % less time of default solver time,158.3254939
2154.625,4.963469,6.153075,7,6.15286,71.75396,37052868,0.000196,viscoplastic1_C_1,good,good,0.024796,-99.21,-99.21 % less time of default solver time,126.5102041
2924.787,1.00E+20,20,1,20,140127100,37052868,0.000146,xingo_afonso_itaipu,good,good,0.017997,-99.19,-99.19 % less time of default solver time,123.2671233
2924.34,1.00E+20,20,1,20,34180740,37052868,0.000146,ww_vref_6405,good,good,0.017408,-99.16,-99.16 % less time of default solver time,119.2328767
955.7804,9453,2.158362,2,2.158362,189347.9,37052868,0.000254,CAG_mat1916,good,good,0.0293,-99.13,-99.13 % less time of default solver time,115.3543307
89.06944,3.18624,25.07409,1,25.07409,7176.636,37052868,0.00006,utm1700b,good,good,0.006861,-99.13,-99.13 % less time of default solver time,114.35
267.613,2815.21,15.2769,4,15.2769,4749346,37052868,0.000166,flowmeter5,good,good,0.018538,-99.1,-99.1 % less time of default solver time,111.6746988
215.1551,19.59017,18.47189,1,18.47189,1.639124,32168837,0.009124,cavity17,good,good,0.79361,-98.85,-98.85 % less time of default solver time,86.98049101
215.1551,19.59017,18.47189,1,18.47189,1.639124,36025721,0.0095,cavity17,good,good,0.79361,-98.8,-98.8 % less time of default solver time,83.53789474
