@relation solvers_anamod_30RS1

@attribute n-nonzero-diags numeric
@attribute avg-diag-dist numeric
@attribute nnz numeric
@attribute norm1 numeric
@attribute col-variability numeric
@attribute min-nnzeros-per-row numeric
@attribute row-variability numeric
@attribute kappa numeric
@attribute ' time' numeric
@attribute ' solver' numeric
@attribute ' class' {good,bad}

@data
3,0.666667,30001,0.640389,1.625188,2,1.625188,3.582398,0.003687,91068410,bad
3,0.666667,30001,0.640389,1.625188,2,1.625188,3.582398,0.000146,18868441,good
3,0.666667,30001,0.640389,1.625188,2,1.625188,3.582398,0.003685,91068408,bad
3,0.666667,30001,0.640389,1.625188,2,1.625188,3.582398,0.0037,47942864,bad
3,0.666667,30001,0.640389,1.625188,2,1.625188,3.582398,1.79769313486E308,90783920,bad
3,0.666667,30001,0.640389,1.625188,2,1.625188,3.582398,0.000281,99720138,bad
3,0.666667,30001,0.640389,1.625188,2,1.625188,3.582398,0.000837,29030072,bad
3,0.666667,30001,0.640389,1.625188,2,1.625188,3.582398,0.00033,26415433,bad
3,0.666667,30001,0.640389,1.625188,2,1.625188,3.582398,0.000121,45869640,good
3,0.666667,30001,0.640389,1.625188,2,1.625188,3.582398,1.79769313486E308,68908713,bad
3,0.666667,30001,0.640389,1.625188,2,1.625188,3.582398,0.000273,7285383,bad
3,0.666667,30001,0.640389,1.625188,2,1.625188,3.582398,0.000171,75830645,bad
3,0.666667,30001,0.640389,1.625188,2,1.625188,3.582398,1.79769313486E308,81986705,bad
3,0.666667,30001,0.640389,1.625188,2,1.625188,3.582398,0.000369,29553942,bad
3,0.666667,30001,0.640389,1.625188,2,1.625188,3.582398,0.000357,69654762,bad
3,0.666667,30001,0.640389,1.625188,2,1.625188,3.582398,0.00048,19932323,bad
3,0.666667,30001,0.640389,1.625188,2,1.625188,3.582398,0.000477,49834420,bad
3,0.666667,30001,0.640389,1.625188,2,1.625188,3.582398,0.000312,38678401,bad
3,0.666667,30001,0.640389,1.625188,2,1.625188,3.582398,0.000343,38678402,bad
3,0.666667,30001,0.640389,1.625188,2,1.625188,3.582398,0.000289,38678403,bad
3,0.666667,30001,0.640389,1.625188,2,1.625188,3.582398,0.000239,36025721,bad
3,0.666667,30001,0.640389,1.625188,2,1.625188,3.582398,0.003701,85490472,bad
3,0.666667,30001,0.640389,1.625188,2,1.625188,3.582398,0.000833,37052869,bad
3,0.666667,30001,0.640389,1.625188,2,1.625188,3.582398,0.000837,37052868,bad
7,1.714286,120004,50.63281,16.62039,4,16.62039,66.44774,0.00429,90197667,bad
7,1.714286,120004,50.63281,16.62039,4,16.62039,66.44774,0.00036,45869639,bad
7,1.714286,120004,50.63281,16.62039,4,16.62039,66.44774,0.000356,45869638,bad
7,1.714286,120004,50.63281,16.62039,4,16.62039,66.44774,0.000716,89269803,bad
7,1.714286,120004,50.63281,16.62039,4,16.62039,66.44774,0.000719,89269801,bad
7,1.714286,120004,50.63281,16.62039,4,16.62039,66.44774,0.00072,7285381,bad
7,1.714286,120004,50.63281,16.62039,4,16.62039,66.44774,0.000719,7285384,bad
7,1.714286,120004,50.63281,16.62039,4,16.62039,66.44774,0.000721,59072884,bad
7,1.714286,120004,50.63281,16.62039,4,16.62039,66.44774,0.000478,49598910,bad
7,1.714286,120004,50.63281,16.62039,4,16.62039,66.44774,0.000501,49598912,bad
7,1.714286,120004,50.63281,16.62039,4,16.62039,66.44774,0.00073,30870721,bad
7,1.714286,120004,50.63281,16.62039,4,16.62039,66.44774,0.000716,30870720,bad
7,1.714286,120004,50.63281,16.62039,4,16.62039,66.44774,1.79769313486E308,44526267,bad
7,1.714286,120004,50.63281,16.62039,4,16.62039,66.44774,0.000716,32168838,bad
7,1.714286,120004,50.63281,16.62039,4,16.62039,66.44774,0.000716,95762352,bad
7,1.714286,120004,50.63281,16.62039,4,16.62039,66.44774,0.00048,57331598,bad
7,1.714286,120004,50.63281,16.62039,4,16.62039,66.44774,0.000357,88865079,bad
7,1.714286,120004,50.63281,16.62039,4,16.62039,66.44774,0.001426,49834418,bad
7,1.714286,120004,50.63281,16.62039,4,16.62039,66.44774,0.000356,88865076,bad
7,1.714286,120004,50.63281,16.62039,4,16.62039,66.44774,0.000478,57331600,bad
7,1.714286,120004,50.63281,16.62039,4,16.62039,66.44774,0.000964,43373442,bad
7,1.714286,120004,50.63281,16.62039,4,16.62039,66.44774,0.007424,91068410,bad
7,1.714286,120004,50.63281,16.62039,4,16.62039,66.44774,0.000457,18868441,bad
7,1.714286,120004,50.63281,16.62039,4,16.62039,66.44774,0.007582,91068408,bad
7,1.714286,120004,50.63281,16.62039,4,16.62039,66.44774,0.011022,47942864,bad
7,1.714286,120004,50.63281,16.62039,4,16.62039,66.44774,1.79769313486E308,90783920,bad
7,1.714286,120004,50.63281,16.62039,4,16.62039,66.44774,0.000723,99720138,bad
7,1.714286,120004,50.63281,16.62039,4,16.62039,66.44774,0.006386,29030072,bad
7,1.714286,120004,50.63281,16.62039,4,16.62039,66.44774,0.000242,26415433,good
