lambda-max-by-magnitude-im,right-bandwidth,avgdistfromdiag,symmetry,n-dummy-rows,blocksize,max-nnzeros-per-row,diag-definite,avgnnzprow,lambda-max-by-magnitude-re,ellipse-cy,nnzup,ruhe75-bound,avg-diag-dist,nnz,lambda-max-by-im-part-im,left-bandwidth,norm1,sigma-min,upband,n-struct-unsymm,lambda-min-by-magnitude-im,diagonal-average,diagonal-dominance,dummy-rows,ritz-values-r,symmetry-snorm,symmetry-fanorm,symmetry-fsnorm,colours,lambda-max-by-im-part-re,col-variability,trace-abs,ritz-values-c,nnzeros,diag-zerostart,loband,positive-fraction,trace,min-nnzeros-per-row,diagonal-sign,row-variability,nrows,lambda-max-by-real-part-im,colour-offsets,n-colours,relsymm,diagonal-variance,departure,nnzlow,n-nonzero-diags,sigma-max,dummy-rows-kind,kappa,n-ritz-values,colour-set-sizes,sigma-diag-dist,symmetry-anorm,ellipse-ax,ellipse-ay,ellipse-cx,normF,normInf,lee95-bound,lambda-max-by-real-part-re,nnzdia,trace-asquared, time, solver, class
0,4535,4,0,0,2358,13,0,4,0,0,9614,2889389,2407.43,24791,0,5307,2296333,939318.3,4535,0,0,0.034752,-4527171,0,0,0,0,0,0,0,27.93044,184.4662,0,24791,2386,5307,0.491667,184.4662,2,1,29.9565,5308,0,0,6,0,2.517999,8680837,9869,7951,2989389,0,192.0068,240,0,14939860,0,667.8895,100000,-42.91292,8681992,4527171,0,491.2643,5308,0,0.051844,53362206,bad
0,4535,4,0,0,2358,13,0,4,0,0,9614,2889389,2407.43,24791,0,5307,2296333,939318.3,4535,0,0,0.034752,-4527171,0,0,0,0,0,0,0,27.93044,184.4662,0,24791,2386,5307,0.491667,184.4662,2,1,29.9565,5308,0,0,6,0,2.517999,8680837,9869,7951,2989389,0,192.0068,240,0,14939860,0,667.8895,100000,-42.91292,8681992,4527171,0,491.2643,5308,0,0.030687,85483012,bad
0,4535,4,0,0,2358,13,0,4,0,0,9614,2889389,2407.43,24791,0,5307,2296333,939318.3,4535,0,0,0.034752,-4527171,0,0,0,0,0,0,0,27.93044,184.4662,0,24791,2386,5307,0.491667,184.4662,2,1,29.9565,5308,0,0,6,0,2.517999,8680837,9869,7951,2989389,0,192.0068,240,0,14939860,0,667.8895,100000,-42.91292,8681992,4527171,0,491.2643,5308,0,0.092539,47942864,bad
0,4535,4,0,0,2358,13,0,4,0,0,9614,2889389,2407.43,24791,0,5307,2296333,939318.3,4535,0,0,0.034752,-4527171,0,0,0,0,0,0,0,27.93044,184.4662,0,24791,2386,5307,0.491667,184.4662,2,1,29.9565,5308,0,0,6,0,2.517999,8680837,9869,7951,2989389,0,192.0068,240,0,14939860,0,667.8895,100000,-42.91292,8681992,4527171,0,491.2643,5308,0,0.083596,47942865,bad
0,4535,4,0,0,2358,13,0,4,0,0,9614,2889389,2407.43,24791,0,5307,2296333,939318.3,4535,0,0,0.034752,-4527171,0,0,0,0,0,0,0,27.93044,184.4662,0,24791,2386,5307,0.491667,184.4662,2,1,29.9565,5308,0,0,6,0,2.517999,8680837,9869,7951,2989389,0,192.0068,240,0,14939860,0,667.8895,100000,-42.91292,8681992,4527171,0,491.2643,5308,0,0.084971,47942866,bad
0,4535,4,0,0,2358,13,0,4,0,0,9614,2889389,2407.43,24791,0,5307,2296333,939318.3,4535,0,0,0.034752,-4527171,0,0,0,0,0,0,0,27.93044,184.4662,0,24791,2386,5307,0.491667,184.4662,2,1,29.9565,5308,0,0,6,0,2.517999,8680837,9869,7951,2989389,0,192.0068,240,0,14939860,0,667.8895,100000,-42.91292,8681992,4527171,0,491.2643,5308,0,0.036138,99720138,bad
0,4535,4,0,0,2358,13,0,4,0,0,9614,2889389,2407.43,24791,0,5307,2296333,939318.3,4535,0,0,0.034752,-4527171,0,0,0,0,0,0,0,27.93044,184.4662,0,24791,2386,5307,0.491667,184.4662,2,1,29.9565,5308,0,0,6,0,2.517999,8680837,9869,7951,2989389,0,192.0068,240,0,14939860,0,667.8895,100000,-42.91292,8681992,4527171,0,491.2643,5308,0,0.000349,29030070,bad
0,4535,4,0,0,2358,13,0,4,0,0,9614,2889389,2407.43,24791,0,5307,2296333,939318.3,4535,0,0,0.034752,-4527171,0,0,0,0,0,0,0,27.93044,184.4662,0,24791,2386,5307,0.491667,184.4662,2,1,29.9565,5308,0,0,6,0,2.517999,8680837,9869,7951,2989389,0,192.0068,240,0,14939860,0,667.8895,100000,-42.91292,8681992,4527171,0,491.2643,5308,0,0.069695,68908713,bad
0,4535,4,0,0,2358,13,0,4,0,0,9614,2889389,2407.43,24791,0,5307,2296333,939318.3,4535,0,0,0.034752,-4527171,0,0,0,0,0,0,0,27.93044,184.4662,0,24791,2386,5307,0.491667,184.4662,2,1,29.9565,5308,0,0,6,0,2.517999,8680837,9869,7951,2989389,0,192.0068,240,0,14939860,0,667.8895,100000,-42.91292,8681992,4527171,0,491.2643,5308,0,0.000283,36564232,bad
0,4535,4,0,0,2358,13,0,4,0,0,9614,2889389,2407.43,24791,0,5307,2296333,939318.3,4535,0,0,0.034752,-4527171,0,0,0,0,0,0,0,27.93044,184.4662,0,24791,2386,5307,0.491667,184.4662,2,1,29.9565,5308,0,0,6,0,2.517999,8680837,9869,7951,2989389,0,192.0068,240,0,14939860,0,667.8895,100000,-42.91292,8681992,4527171,0,491.2643,5308,0,0.020129,81986705,bad
