@ATTRIBUTE ellipse-ax NUMERIC
@ATTRIBUTE ellipse-ay NUMERIC
@ATTRIBUTE ellipse-cx NUMERIC
@ATTRIBUTE normF NUMERIC
@ATTRIBUTE normInf NUMERIC
@ATTRIBUTE lambda-max-by-real-part-im NUMERIC
@ATTRIBUTE lambda-max-by-real-part-re NUMERIC
@ATTRIBUTE nnzdia NUMERIC
@ATTRIBUTE avgdistfromdiag NUMERIC
@ATTRIBUTE solver {"11256944","99720138","11256942","11256943","11256941","42851841","81986705","82456576","53362206","45869639","45869638","45869637","12321508","30870723","53302993","44526267","90783920","30870722","30870721","30870720","36564233","36564232","36564235","36564234","13323659","95762355","95762354","95762353","95762352","45869640"}
@ATTRIBUTE class {good,bad}
@DATA

?,100,9,?,99,9,1,8,8293.715,?,38612,609.8284,66.22222,87025,4.305043,?,100,13238.71,6857.033,100,87025,?,113.86,-38.3144,?,?,38612,?,8293.715,1.274212,1115942.0,?,9801,100,1.0,1115942.0,4,2,1.425323,9801,?,8,415.1602,1534.61,?,1.327588,8296.49,?,10920.05,31,1023.255,?,7270.46,44983.41,13265.9,?,8293.715,9801,8,"12321508",bad
?,100,9,?,99,9,1,8,8293.715,?,38612,609.8284,66.22222,87025,4.305043,?,100,13238.71,6857.033,100,87025,?,113.86,-38.3144,?,?,38612,?,8293.715,1.274212,1115942.0,?,9801,100,1.0,1115942.0,4,2,1.425323,9801,?,8,415.1602,1534.61,?,1.327588,8296.49,?,10920.05,31,1023.255,?,7270.46,44983.41,13265.9,?,8293.715,9801,8,"95762354",bad
?,740,72,?,61,21,1,7,219159900.0,?,2598,90701000.0,354.4722,5976,104454.1,?,740,438227900.0,19168930.0,740,5976,?,1240418.0,-218935700.0,?,?,2618,?,219159900.0,27.76689,942717800.0,?,760,740,1.0,942717800.0,3,2,27.76792,760,?,8,11575590.0,320840900.0,?,2104.586,309860900.0,?,290607.9,111,109527900.0,?,109632000.0,453810400.0,219163400.0,?,219159900.0,760,7,"82456576",bad
?,740,72,?,61,21,1,7,219159900.0,?,2598,90701000.0,354.4722,5976,104454.1,?,740,438227900.0,19168930.0,740,5976,?,1240418.0,-218935700.0,?,?,2618,?,219159900.0,27.76689,942717800.0,?,760,740,1.0,942717800.0,3,2,27.76792,760,?,8,11575590.0,320840900.0,?,2104.586,309860900.0,?,290607.9,111,109527900.0,?,109632000.0,453810400.0,219163400.0,?,219159900.0,760,7,"12321508",good
?,740,72,?,61,21,1,7,219159900.0,?,2598,90701000.0,354.4722,5976,104454.1,?,740,438227900.0,19168930.0,740,5976,?,1240418.0,-218935700.0,?,?,2618,?,219159900.0,27.76689,942717800.0,?,760,740,1.0,942717800.0,3,2,27.76792,760,?,8,11575590.0,320840900.0,?,2104.586,309860900.0,?,290607.9,111,109527900.0,?,109632000.0,453810400.0,219163400.0,?,219159900.0,760,7,"95762354",bad
?,740,72,?,61,21,1,7,219055800.0,?,2598,90731470.0,354.4722,5976,339.9466,?,740,438123800.0,19094990.0,740,5976,?,1136304.0,-219039800.0,?,?,2618,?,219055800.0,26.03968,863591000.0,?,760,740,1.0,863591000.0,3,2,25.14164,760,?,8,11575590.0,320840900.0,?,206.3108,309787300.0,?,290607.9,109,108997000.0,?,110058800.0,453603100.0,219059300.0,?,219055800.0,760,7,"82456576",bad
?,740,72,?,61,21,1,7,219055800.0,?,2598,90731470.0,354.4722,5976,339.9466,?,740,438123800.0,19094990.0,740,5976,?,1136304.0,-219039800.0,?,?,2618,?,219055800.0,26.03968,863591000.0,?,760,740,1.0,863591000.0,3,2,25.14164,760,?,8,11575590.0,320840900.0,?,206.3108,309787300.0,?,290607.9,109,108997000.0,?,110058800.0,453603100.0,219059300.0,?,219055800.0,760,7,"12321508",bad
?,740,72,?,61,21,1,7,219055800.0,?,2598,90731470.0,354.4722,5976,339.9466,?,740,438123800.0,19094990.0,740,5976,?,1136304.0,-219039800.0,?,?,2618,?,219055800.0,26.03968,863591000.0,?,760,740,1.0,863591000.0,3,2,25.14164,760,?,8,11575590.0,320840900.0,?,206.3108,309787300.0,?,290607.9,109,108997000.0,?,110058800.0,453603100.0,219059300.0,?,219055800.0,760,7,"95762354",bad
?,100,9,?,99,9,1,8,254.2017,?,38612,215.3918,66.22222,87025,4.850837,?,100,388.2367,215.3993,100,87025,?,16.83003,-0.7180107,?,?,38612,?,253.1138,0.9638526,164951.1,?,9801,100,1.0,164951.1,4,2,1.012551,9801,?,8,19.62649,37.20261,?,33970.96,254.2823,?,10920.05,16,127.0971,?,127.1046,2708.055,388.7847,?,254.2017,9801,8,"82456576",bad
?,100,9,?,99,9,1,8,254.2017,?,38612,215.3918,66.22222,87025,4.850837,?,100,388.2367,215.3993,100,87025,?,16.83003,-0.7180107,?,?,38612,?,253.1138,0.9638526,164951.1,?,9801,100,1.0,164951.1,4,2,1.012551,9801,?,8,19.62649,37.20261,?,33970.96,254.2823,?,10920.05,16,127.0971,?,127.1046,2708.055,388.7847,?,254.2017,9801,8,"12321508",bad
