config,nprocs,solverid,solvername,name,count,maxtime,avg time/solve,maxflops,messages,avgmsglen,reductions,max mflop/s,speedup,efficiency
s20_g1,96,45869640,fgmres/asm/overlap1,KSPSolve,2,8.6830e-03,4.341500e-03,4.58e+05,7.5e+04,8.2e+01,3.5e+02,3454,0.001943955514023211,0.04859888785058027
s20_g1,192,7481378,tfqmr/none,KSPSolve,1,9.4311e-03,9.431100e-03,2.38e+05,2.1e+05,4.7e+01,4.5e+02,2446,0.0013098749999999998,0.06549374999999999
s20_g1,192,99720138,cg/bjacobi,KSPSolve,1,2.3161e-02,2.316100e-02,2.47e+05,1.5e+05,4.7e+01,6.3e+02,948,0.008908076923076923,0.11135096153846154
s20_g1,192,11256942,tfqmr/asm/overlap0,KSPSolve,2,2.1472e-01,1.073600e-01,3.08e+05,1.8e+05,4.7e+01,4.1e+02,127,0.1288320051532802,1.6104000644160024
s20_g1,192,11256943,tfqmr/asm/overlap3,KSPSolve,2,1.6337e-02,8.168500e-03,6.24e+05,4.0e+05,7.1e+01,1.8e+02,4662,0.0013175,0.01646875
s20_g1,192,11256941,tfqmr/asm/overlap1,KSPSolve,2,1.3819e-02,6.909500e-03,3.15e+05,2.1e+05,5.5e+01,2.4e+02,2317,0.006686615060198406,0.08358268825248008
s20_g1,192,42851841,gmres/bjacobi,KSPSolve,2,1.0544e-01,5.272000e-02,5.24e+05,1.9e+05,4.7e+01,5.9e+02,461,0.022921739130434785,0.2865217391304348
s20_g1,192,11256944,tfqmr/asm/overlap2,KSPSolve,2,1.1385e-02,5.692500e-03,4.27e+05,2.8e+05,6.4e+01,1.9e+02,4308,0.0009331967213114754,0.011664959016393441
s20_g1,192,82456576,tfqmr/jacobi,KSPSolve,1,2.5963e-02,2.596300e-02,3.15e+05,2.7e+05,4.7e+01,5.9e+02,1175,0.008113437499999999,0.10141796874999999
s20_g1,192,49542066,bcgs/none,KSPSolve,2,1.6538e-02,8.269000e-03,2.70e+05,2.4e+05,4.7e+01,6.9e+02,1579,0.010230239146840863,0.005328249555646283
s20_g1,192,53362206,bicg/jacobi,KSPSolve,2,1.6024e-02,8.012000e-03,4.15e+05,3.8e+05,4.7e+01,8.2e+02,2504,0.007283636363636363,0.0037935606060606054
s20_g1,192,45869639,fgmres/asm/overlap0,KSPSolve,2,1.5812e-02,7.906000e-03,5.26e+05,1.9e+05,4.7e+01,6.7e+02,3083,0.003002278861047957,0.037528485763099466
s20_g1,192,45869638,fgmres/asm/overlap3,KSPSolve,2,1.5863e-02,7.931500e-03,5.11e+05,3.0e+05,7.7e+01,2.8e+02,3840,0.0033992147713163955,0.042490184641454945
s20_g1,192,45869637,fgmres/asm/overlap2,KSPSolve,2,1.3489e-02,6.744500e-03,4.05e+05,2.3e+05,6.8e+01,3.2e+02,3376,0.003263467215569804,0.04079334019462255
s20_g1,192,12321508,fgmres/bjacobi,KSPSolve,2,2.6847e-02,1.342350e-02,5.26e+05,1.9e+05,4.7e+01,6.6e+02,1816,0.005441958724059631,0.06802448405074539
s20_g1,192,44673503,fgmres/none,KSPSolve,2,4.3265e-02,2.163250e-02,6.02e+05,2.7e+05,4.7e+01,8.7e+02,1358,0.012725,0.006627604166666667
s20_g1,192,90783920,gmres/jacobi,KSPSolve,2,7.6415e-02,3.820750e-02,6.05e+05,2.6e+05,4.7e+01,8.0e+02,773,0.015283,0.1910375
s20_g1,192,80361466,bcgs/asm/overlap0,KSPSolve,2,1.2567e-02,6.283500e-03,2.76e+05,1.7e+05,4.7e+01,4.9e+02,1947,0.014500385730798903,0.007552284234791096
s20_g1,192,80361467,bcgs/asm/overlap1,KSPSolve,2,8.6961e-03,4.348050e-03,2.77e+05,1.8e+05,5.6e+01,2.7e+02,3242,0.00931724933448219,0.004852734028376141
s20_g1,192,80361464,bcgs/asm/overlap2,KSPSolve,2,7.4205e-02,3.710250e-02,4.02e+05,2.7e+05,6.5e+01,2.2e+02,623,0.07950535146390346,0.041409037220783054
s20_g1,192,80361465,bcgs/asm/overlap3,KSPSolve,2,1.4751e-02,7.375500e-03,5.98e+05,3.9e+05,7.1e+01,2.1e+02,4949,0.01702038592464507,0.008864784335752642
s20_g1,192,19481960,bicg/none,KSPSolve,2,1.7467e-02,8.733500e-03,4.02e+05,3.8e+05,4.7e+01,8.1e+02,2222,0.010518867356402135,0.005478576748126112
s20_g1,192,8520536,bcgs/jacobi,KSPSolve,2,1.3772e-02,6.886000e-03,2.56e+05,2.2e+05,4.7e+01,6.4e+02,1798,0.006886,0.086075
s20_g1,192,96689089,cg/none,KSPSolve,1,2.2900e-03,2.290000e-03,4.04e+03,3.6e+03,4.7e+01,2.1e+01,170,0.00358058665332416,0.0018648888819396668
s20_g1,192,53302993,tfqmr/bjacobi,KSPSolve,2,1.3787e-01,6.893500e-02,3.08e+05,1.8e+05,4.7e+01,4.0e+02,198,0.08991521348194723,1.1239401685243404
s20_g1,192,44526267,fgmres/jacobi,KSPSolve,2,4.2485e-02,2.124250e-02,5.94e+05,2.6e+05,4.7e+01,8.5e+02,1364,0.008497000000000001,0.10621250000000002
s20_g1,192,91036839,bcgs/bjacobi,KSPSolve,2,1.6152e-02,8.076000e-03,2.76e+05,1.7e+05,4.7e+01,4.8e+02,1515,0.018636924510532657,0.009706731515902425
s20_g1,192,30870723,gmres/asm/overlap1,KSPSolve,2,1.7799e-02,8.899500e-03,3.64e+05,1.8e+05,5.6e+01,3.2e+02,2062,0.004683947368421052,0.05854934210526316
s20_g1,192,30870722,gmres/asm/overlap0,KSPSolve,2,1.8913e-02,9.456500e-03,5.24e+05,1.9e+05,4.7e+01,6.0e+02,2568,0.0036371153846153845,0.04546394230769231
s20_g1,192,30870721,gmres/asm/overlap3,KSPSolve,2,1.0557e-01,5.278500e-02,5.17e+05,3.0e+05,7.7e+01,2.2e+02,586,0.02778157894736842,0.34726973684210527
