avg-diag-dist,norm1,col-variability,min-nnzeros-per-row,row-variability,kappa, time, solver,matrix_name, actual_class,predicted_class,default_time,Time Difference,Comparison,SpeedUp
1306.423,4849.372,14.34569,2,13.1715,26179.48,0.000112,19932321,extr1b_A_24,fair,fair,0.38177,-99.97,-99.97 % less time of default solver time,3408.660714
1306.463,4838.556,14.40508,2,13.557,56734.14,0.000112,19932321,extr1b_A_31,fair,fair,0.38093,-99.97,-99.97 % less time of default solver time,3401.160714
1306.463,4838.556,14.40508,2,13.557,56734.14,0.000112,36025721,extr1b_A_31,fair,fair,0.38093,-99.97,-99.97 % less time of default solver time,3401.160714
1306.423,4845.709,14.42637,2,13.24285,41830.12,0.000111,19932321,extr1b_A_40,fair,fair,0.37731,-99.97,-99.97 % less time of default solver time,3399.189189
1306.082,4845.884,13.73004,2,12.43721,26953.28,0.000111,19932321,extr1b_A_17,fair,fair,0.37494,-99.97,-99.97 % less time of default solver time,3377.837838
1306.423,4865.899,14.31667,2,12.859,13107.05,0.000112,19932321,extr1b_A_19,fair,fair,0.37743,-99.97,-99.97 % less time of default solver time,3369.910714
1306.423,4841.575,14.40689,2,13.4073,42993.7,0.000112,36025721,extr1b_A_34,fair,fair,0.37655,-99.97,-99.97 % less time of default solver time,3362.053571
157.7643,62.81284,18.42593,1,18.4186,33.32586,0.000319,37052868,cavity15,good,good,1.0658,-99.97,-99.97 % less time of default solver time,3341.065831
1306.123,4843.661,14.34498,2,13.33393,31017.24,0.000111,19932321,extr1b_A_21,fair,fair,0.37072,-99.97,-99.97 % less time of default solver time,3339.81982
6827.318,242717800,26.10612,2,19.77358,17275.94,0.001585,29030070,g7jac120,fair,fair,5.2736,-99.97,-99.97 % less time of default solver time,3327.192429
1306.123,4840.153,14.43798,2,13.4357,42220.34,0.000111,36025721,extr1b_A_42,fair,fair,0.36607,-99.97,-99.97 % less time of default solver time,3297.927928
1306.123,4840.153,14.43798,2,13.4357,42220.34,0.000112,19932321,extr1b_A_42,fair,fair,0.36607,-99.97,-99.97 % less time of default solver time,3268.482143
1306.463,4841.603,14.42482,2,13.38897,42863.94,0.000117,19932321,extr1b_A_37,fair,fair,0.37439,-99.97,-99.97 % less time of default solver time,3199.91453
1306.082,4845.884,13.73004,2,12.43721,26953.28,0.000118,36025721,extr1b_A_17,fair,fair,0.37494,-99.97,-99.97 % less time of default solver time,3177.457627
1306.123,4843.661,14.34498,2,13.33393,31017.24,0.000118,36025721,extr1b_A_21,fair,fair,0.37072,-99.97,-99.97 % less time of default solver time,3141.694915
3890.815,100109.9,18.87546,2,18.54204,1.863794,0.000514,37052868,powersim,good,good,1.6127,-99.97,-99.97 % less time of default solver time,3137.548638
1306.423,4845.709,14.42637,2,13.24285,41830.12,0.000121,69654763,extr1b_A_40,fair,fair,0.37731,-99.97,-99.97 % less time of default solver time,3118.264463
148.7198,1138142,22.86051,1,22.86039,803845.5,0.000469,37052868,cz10228,good,fair,1.4511,-99.97,-99.97 % less time of default solver time,3094.029851
531.1134,2097152,9.976185,2,13.15285,5918.965,0.002177,36025721,mark3jac080sc,fair,fair,6.7214,-99.97,-99.97 % less time of default solver time,3087.459807
531.1134,12208740,21.60955,2,18.71334,1.977884,0.002731,36025721,mark3jac100,fair,fair,8.3513,-99.97,-99.97 % less time of default solver time,3057.964116
6493.718,126001,30.47297,2,30.47297,2.338928,0.000521,69654763,bayer02,fair,fair,1.5747,-99.97,-99.97 % less time of default solver time,3022.456814
531.1134,12208740,21.60955,2,18.71334,1.934897,0.002204,36025721,mark3jac080,fair,fair,6.6135,-99.97,-99.97 % less time of default solver time,3000.680581
6493.718,126001,30.47297,2,30.47297,2.338928,0.000528,19932321,bayer02,fair,fair,1.5747,-99.97,-99.97 % less time of default solver time,2982.386364
6827.318,62951460,24.8499,2,19.77358,49955.62,0.000938,29030070,g7jac060,fair,fair,2.7435,-99.97,-99.97 % less time of default solver time,2924.840085
531.1134,12208740,21.60955,2,18.71334,56.81556,0.001672,36025721,mark3jac060,fair,fair,4.8834,-99.97,-99.97 % less time of default solver time,2920.69378
531.1134,12208740,21.60955,2,18.71334,90.24236,0.000561,36025721,mark3jac020,bad,bad,1.63,-99.97,-99.97 % less time of default solver time,2905.525847
531.1134,12208740,21.60955,2,18.71334,35.06149,0.001117,36025721,mark3jac040,fair,fair,3.2123,-99.97,-99.97 % less time of default solver time,2875.828111
13377.03,2669,0.60206,1,0.60206,24533360,0.002041,36564232,as-caida_G_120,fair,fair,5.8268,-99.96,-99.96 % less time of default solver time,2854.875061
