dgesvxx.f,"['FACT', 'TRANS', 'N', 'NRHS', 'LDA', 'LDAF', 'LDB', 'LDX', 'N_ERR_BNDS', 'NPARAMS']","['X', 'RCOND', 'RPVGRW', 'BERR', 'ERR_BNDS_NORM', 'ERR_BNDS_COMP', 'WORK', 'IWORK', 'INFO']","['A', 'AF', 'IPIV', 'EQUED', 'R', 'C', 'B', 'PARAMS']"
dpbsvx.f,"['FACT', 'UPLO', 'N', 'KD', 'NRHS', 'LDAB', 'LDAFB', 'LDB', 'LDX']","['X', 'RCOND', 'FERR', 'BERR', 'WORK', 'IWORK', 'INFO']","['AB', 'AFB', 'EQUED', 'S', 'B']"
dposvx.f,"['FACT', 'UPLO', 'N', 'NRHS', 'LDA', 'LDAF', 'LDB', 'LDX']","['X', 'RCOND', 'FERR', 'BERR', 'WORK', 'IWORK', 'INFO']","['A', 'AF', 'EQUED', 'S', 'B']"
dposvxx.f,"['FACT', 'UPLO', 'N', 'NRHS', 'LDA', 'LDAF', 'LDB', 'LDX', 'N_ERR_BNDS', 'NPARAMS']","['X', 'RCOND', 'RPVGRW', 'BERR', 'ERR_BNDS_NORM', 'ERR_BNDS_COMP', 'WORK', 'IWORK', 'INFO']","['A', 'AF', 'EQUED', 'S', 'B', 'PARAMS']"
dppsvx.f,"['FACT', 'UPLO', 'N', 'NRHS', 'LDB', 'LDX']","['X', 'RCOND', 'FERR', 'BERR', 'WORK', 'IWORK', 'INFO']","['AP', 'AFP', 'EQUED', 'S', 'B']"
dspsvx.f,"['FACT', 'UPLO', 'N', 'NRHS', 'AP', 'B', 'LDB', 'LDX']","['X', 'RCOND', 'FERR', 'BERR', 'WORK', 'IWORK', 'INFO']","['AFP', 'IPIV']"
dsysvx.f,"['FACT', 'UPLO', 'N', 'NRHS', 'A', 'LDA', 'LDAF', 'B', 'LDB', 'LDX', 'LWORK']","['X', 'RCOND', 'FERR', 'BERR', 'WORK', 'IWORK', 'INFO']","['AF', 'IPIV']"
cgbsvx.f,"['FACT', 'TRANS', 'N', 'KL', 'KU', 'NRHS', 'LDAB', 'LDAFB', 'LDB', 'LDX']","['X', 'RCOND', 'FERR', 'BERR', 'WORK', 'RWORK', 'INFO']","['AB', 'AFB', 'IPIV', 'EQUED', 'R', 'C', 'B']"
cgbsvxx.f,"['FACT', 'TRANS', 'N', 'KL', 'KU', 'NRHS', 'LDAB', 'LDAFB', 'LDB', 'LDX', 'N_ERR_BNDS', 'NPARAMS']","['X', 'RCOND', 'RPVGRW', 'BERR', 'ERR_BNDS_NORM', 'ERR_BNDS_COMP', 'WORK', 'RWORK', 'INFO']","['AB', 'AFB', 'IPIV', 'EQUED', 'R', 'C', 'B', 'PARAMS']"
cgesvx.f,"['FACT', 'TRANS', 'N', 'NRHS', 'LDA', 'LDAF', 'LDB', 'LDX']","['X', 'RCOND', 'FERR', 'BERR', 'WORK', 'RWORK', 'INFO']","['A', 'AF', 'IPIV', 'EQUED', 'R', 'C', 'B']"
cgesvxx.f,"['FACT', 'TRANS', 'N', 'NRHS', 'LDA', 'LDAF', 'LDB', 'LDX', 'N_ERR_BNDS', 'NPARAMS']","['X', 'RCOND', 'RPVGRW', 'BERR', 'ERR_BNDS_NORM', 'ERR_BNDS_COMP', 'WORK', 'RWORK', 'INFO']","['A', 'AF', 'IPIV', 'EQUED', 'R', 'C', 'B', 'PARAMS']"
chesvx.f,"['FACT', 'UPLO', 'N', 'NRHS', 'A', 'LDA', 'LDAF', 'B', 'LDB', 'LDX', 'LWORK']","['X', 'RCOND', 'FERR', 'BERR', 'WORK', 'RWORK', 'INFO']","['AF', 'IPIV']"
