249,s,pprfs,single/spprfs.f
250,d,pprfs,double/dpprfs.f
251,c,pprfs,complex/cpprfs.f
252,z,pprfs,complex16/zpprfs.f
253,s,ptrfs,single/sptrfs.f
254,d,ptrfs,double/dptrfs.f
255,c,ptrfs,complex/cptrfs.f
256,z,ptrfs,complex16/zptrfs.f
257,s,syrfs,single/ssyrfs.f
258,d,syrfs,double/dsyrfs.f
259,c,syrfs,complex/csyrfs.f
260,z,syrfs,complex16/zsyrfs.f
261,s,sprfs,single/ssprfs.f
262,d,sprfs,double/dsprfs.f
263,c,sprfs,complex/csprfs.f
264,z,sprfs,complex16/zsprfs.f
265,s,trrfs,single/strrfs.f
266,d,trrfs,double/dtrrfs.f
267,c,trrfs,complex/ctrrfs.f
268,z,trrfs,complex16/ztrrfs.f
269,s,tbrfs,single/stbrfs.f
270,d,tbrfs,double/dtbrfs.f
271,c,tbrfs,complex/ctbrfs.f
272,z,tbrfs,complex16/ztbrfs.f
273,s,tprfs,single/stprfs.f
274,d,tprfs,double/dtprfs.f
275,c,tprfs,complex/ctprfs.f
276,z,tprfs,complex16/ztprfs.f
277,s,getri,single/sgetri.f
278,d,getri,double/dgetri.f
279,c,getri,complex/cgetri.f
280,z,getri,complex16/zgetri.f
281,c,hetri,complex/chetri.f
282,z,hetri,complex16/zhetri.f
283,c,hptri,complex/chptri.f
284,z,hptri,complex16/zhptri.f
285,s,potri,single/spotri.f
286,d,potri,double/dpotri.f
287,c,potri,complex/cpotri.f
288,z,potri,complex16/zpotri.f
289,s,pptri,single/spptri.f
290,d,pptri,double/dpptri.f
291,c,pptri,complex/cpptri.f
292,z,pptri,complex16/zpptri.f
293,s,sytri,single/ssytri.f
294,d,sytri,double/dsytri.f
295,c,sytri,complex/csytri.f
296,z,sytri,complex16/zsytri.f
297,s,sptri,single/ssptri.f
298,d,sptri,double/dsptri.f
299,c,sptri,complex/csptri.f
300,z,sptri,complex16/zsptri.f
301,s,trtri,single/strtri.f
302,d,trtri,double/dtrtri.f
303,c,trtri,complex/ctrtri.f
304,z,trtri,complex16/ztrtri.f
305,s,tptri,single/stptri.f
306,d,tptri,double/dtptri.f
307,c,tptri,complex/ctptri.f
308,z,tptri,complex16/ztptri.f
309,s,geequ,single/sgeequ.f
310,d,geequ,double/dgeequ.f
311,c,geequ,complex/cgeequ.f
312,z,geequ,complex16/zgeequ.f
313,s,gbequ,single/sgbequ.f
314,d,gbequ,double/dgbequ.f
315,c,gbequ,complex/cgbequ.f
316,z,gbequ,complex16/zgbequ.f
317,s,poequ,single/spoequ.f
