lambda-max-by-magnitude-im,right-bandwidth,avgdistfromdiag,symmetry,n-dummy-rows,blocksize,max-nnzeros-per-row,diag-definite,solver,class,matrix_name,solver_time,default_time,Time Difference,Comparison,SpeedUp
2955.838,24148,13,0,1,0,5559,9.773147,32168839,good,G61,0.000094,0.000094,0.0,0.0 % less time of default solver time,1.0
2955.838,24148,13,0,1,0,5559,9.773147,37052868,good,G61,0.000094,0.000094,0.0,0.0 % less time of default solver time,1.0
66.22222,87025,5.333333,1.034632,4,1.034632,9,2145.693,32168839,good,t2d_q9,0.00655,0.00655,0.0,0.0 % less time of default solver time,1.0
66.22222,87025,5.333333,1.034632,4,1.034632,9,2145.693,36564232,good,t2d_q9,0.008282,0.00655,26.44,26.44 % more time of default solver time,0.7908717701038397
66.22222,87025,1864.36,1.267202,4,1.427216,9,284102.1,32168839,good,t2d_q9_A_02,0.006581,0.006581,0.0,0.0 % less time of default solver time,1.0
1089.52,86693,32.81764,300.1218,1,300.1485,3410,1.603216,32168839,good,lhr04c,0.000125,0.000125,0.0,0.0 % less time of default solver time,1.0
1089.52,86693,32.81764,300.1218,1,300.1485,3410,1.603216,36564232,good,lhr04c,0.000125,0.000125,0.0,0.0 % less time of default solver time,1.0
200.611,11003,1,1.726839,5,1.726839,779,10.44892,32168839,good,cage8,0.000126,0.000126,0.0,0.0 % less time of default solver time,1.0
153.4294,2218,731736.9,7.863356,2,8.17689,361,429.7835,32168839,good,west0497,0.000018,0.000018,0.0,0.0 % less time of default solver time,1.0
153.4294,2218,731736.9,7.863356,2,8.17689,361,429.7835,36564232,good,west0497,0.00002,0.000018,11.11,11.11 % more time of default solver time,0.8999999999999999
153.4294,2218,731736.9,7.863356,2,8.17689,361,429.7835,37052868,good,west0497,0.000015,0.000018,-16.67,-16.67 % less time of default solver time,1.2
10358.63,252463,1389.099,13.59389,3,13.59389,7132,3.67316,32168839,good,TSOPF_RS_b39_c7,0.000337,0.000337,0.0,0.0 % less time of default solver time,1.0
66.22222,87025,36.56131,0.908476,4,0.919111,9,7102.891,32168839,good,t2d_q9_A_09,0.006494,0.006494,0.0,0.0 % less time of default solver time,1.0
207.3176,294276,6.921513,21.49807,24,21.49807,721,3465.853,32168839,good,raefsky2,0.013656,0.013656,0.0,0.0 % less time of default solver time,1.0
4715.235,16532,120,1.146128,1,1.146128,2749,31.38931,32168839,good,Reuters911_Day_47,0.000081,0.000081,0.0,0.0 % less time of default solver time,1.0
4715.235,16532,120,1.146128,1,1.146128,2749,31.38931,36564232,good,Reuters911_Day_47,0.000094,0.000081,16.05,16.05 % more time of default solver time,0.8617021276595745
4715.235,16532,120,1.146128,1,1.146128,2749,31.38931,37052868,good,Reuters911_Day_47,0.000069,0.000081,-14.81,-14.81 % less time of default solver time,1.173913043478261
4354.824,430909,197392.6,67.92974,1,65.96292,199,7.032876,32168839,good,GT01R,0.004259,0.004259,0.0,0.0 % less time of default solver time,1.0
2427.286,28847,45443.18,27.41011,2,27.05915,8312,1.229103,32168839,good,hydr1c_A_29,0.000205,0.000205,0.0,0.0 % less time of default solver time,1.0
2427.286,28847,45443.18,27.41011,2,27.05915,8312,1.229103,69654763,good,hydr1c_A_29,0.000177,0.000205,-13.66,-13.66 % less time of default solver time,1.1581920903954803
2427.286,28847,45443.18,27.41011,2,27.05915,8312,1.229103,37052868,good,hydr1c_A_29,0.000154,0.000205,-24.88,-24.88 % less time of default solver time,1.3311688311688312
66.22222,87025,1860.857,1.04785,4,1.071613,9,72393.59,32168839,good,t2d_q9_A_28,0.006336,0.006336,0.0,0.0 % less time of default solver time,1.0
66.22222,87025,1860.857,1.04785,4,1.071613,9,72393.59,36564232,good,t2d_q9_A_28,0.008434,0.006336,33.11,33.11 % more time of default solver time,0.7512449608726582
66.22222,87025,36.66171,0.908476,4,0.919111,9,7148.292,32168839,good,t2d_q4_A_08,0.006542,0.006542,0.0,0.0 % less time of default solver time,1.0
66.22222,87025,36.66171,0.908476,4,0.919111,9,7148.292,69654763,good,t2d_q4_A_08,0.006836,0.006542,4.49,4.49 % more time of default solver time,0.9569923932124049
