lambda-max-by-magnitude-im,right-bandwidth,avgdistfromdiag,symmetry,n-dummy-rows,blocksize,max-nnzeros-per-row,diag-definite,avgnnzprow,lambda-max-by-magnitude-re,ellipse-cy,nnzup,ruhe75-bound,avg-diag-dist,nnz,lambda-max-by-im-part-im,left-bandwidth,norm1,sigma-min,upband,n-struct-unsymm,lambda-min-by-magnitude-im,diagonal-average,diagonal-dominance,dummy-rows,ritz-values-r,symmetry-snorm,symmetry-fanorm,symmetry-fsnorm,colours,lambda-max-by-im-part-re,col-variability,trace-abs,ritz-values-c,nnzeros,diag-zerostart,loband,positive-fraction,trace,min-nnzeros-per-row,diagonal-sign,row-variability,nrows,lambda-max-by-real-part-im,colour-offsets,n-colours,relsymm,diagonal-variance,departure,nnzlow,n-nonzero-diags,sigma-max,dummy-rows-kind,kappa,n-ritz-values,colour-set-sizes,sigma-diag-dist,symmetry-anorm,ellipse-ax,ellipse-ay,ellipse-cx,normF,normInf,lee95-bound,lambda-max-by-real-part-re,nnzdia,trace-asquared,solver,class,matrix_name,solver_time,default_time,Time Difference,Comparison,SpeedUp
0,0,3,0,372,1,5,0,3,-0.000023,0,0,0.000033,561.7257,5171,0,1327,0.000074,0.000038,0,3814,0,0.000021,-0.000053,0,0,0.000051,0.000206,0.000806,0,-0.000023,8.240137,0.02804,0,5171,1357,1327,0,-0.02804,1,-2,8.240137,1357,0,0,4,0.262425,0.000005,0.000291,3814,977,0.000039,1,6.349324,30,0,1384263,0.000023,0.000012,0.000001,-0.000016,0.000832,0.000053,0.000291,-0.000004,1357,0.000001,91845162,good,rail_1357,0.010389,0.023687,-56.14,-56.14 % less time of default solver time,2.2800077
0,0,3,0,371,1,5,1,3,0.000274,0,0,0.000568,561.7257,5177,0,1327,0.001127,0.000571,0,3820,0,0.000129,0,0,0,0.000895,0.001252,0.006364,0,0.000227,6.058414,0.175147,0,5177,1357,1327,1,0.175147,1,2,6.058414,1357,0,0,4,0.262121,0.00011,0.00177,3820,977,0.00072,1,165.0752,45,0,1384263,0.000298,0.000296,0.000003,0.0003,0.006486,0.000895,0.00177,0.000597,1357,0.000039,88865077,good,rail_1357_E,0.007818,0.01738,-55.02,-55.02 % less time of default solver time,2.223074955
0,0,1,0,12517,1,133,0,1,0,0,0,26.54195,4619.115,16107,0,13138,104,9.599049,0,0,0,0,-206,0,0,0,0,0,0,0,1.113943,0,0,16107,0,13138,0.5,0,1,10,1.113943,13332,0,0,7,0,0,68.95651,2775,2426,27.09887,1,50.34842,240,0,96108990,0,0.384386,0.213607,0.172535,70.40597,206,0,0,13332,0,18868443,good,Reuters911_Day_12,0.010423,0.021751,-52.08,-52.08 % less time of default solver time,2.086827209
0,100,8,0,0,99,9,1,8,167.7161,0,38612,148.8563,66.22222,87025,0,100,252.0465,148.8638,100,0,0,16.40549,-0.000155,0,0,252.0465,15.81969,2505.744,0,167.7161,0.922781,160790.2,0,87025,9801,100,1,160790.2,4,2,0.960462,9801,0,0,8,1,17.38965,22.37242,38612,9,167.7356,0,22407.62,18,0,10920.05,2.685537,83.8543,0,83.86179,2505.794,252.0466,22.37242,167.7161,9801,6278503,36025721,good,t2d_q4_A_18,0.162444,0.3368,-51.77,-51.77 % less time of default solver time,2.073329886
0,0,3,0,13,1,6,0,3,-0.000012,0,0,0.000138,39.8125,6209,0,93,0.000207,0.00014,0,4541,0,0.000035,-0.0002,0,0,0.000175,0.000558,0.002102,0,-0.000012,20.86125,0.058495,0,6209,1668,93,0,-0.058495,1,-2,20.86125,1668,0,0,5,0.268642,0.000035,0.00079,4541,80,0.000142,1,46.88194,34,0,6900.168,0.000059,0.000057,0.000019,-0.00006,0.002175,0.0002,0.00079,-0.000002,1668,0.000004,32168837,good,filter2D,0.009069,0.018787,-51.73,-51.73 % less time of default solver time,2.071562466
0,0,3,0,13,1,6,0,3,-0.000012,0,0,0.000138,39.8125,6209,0,93,0.000207,0.00014,0,4541,0,0.000035,-0.0002,0,0,0.000175,0.000558,0.002102,0,-0.000012,20.86125,0.058495,0,6209,1668,93,0,-0.058495,1,-2,20.86125,1668,0,0,5,0.268642,0.000035,0.00079,4541,80,0.000142,1,46.88194,34,0,6900.168,0.000059,0.000057,0.000019,-0.00006,0.002175,0.0002,0.00079,-0.000002,1668,0.000004,88865077,good,filter2D,0.009109,0.018787,-51.51,-51.51 % less time of default solver time,2.062465693
0,0,1,0,12639,1,79,0,1,0,0,0,19.51677,4653.076,15682,0,12772,83,9.27763,0,0,0,0,-110,0,0,0,0,0,0,0,0.90309,0,0,15682,0,12772,0.5125,0,1,10,0.90309,13332,0,0,7,0,0,62.18521,2350,2105,19.77731,1,10.52411,240,0,97107330,0,0.235408,0.226803,0.025134,63.65532,110,0,0,13332,0,19932324,good,Reuters911_Day_64,0.011424,0.02333,-51.03,-51.03 % less time of default solver time,2.042191877
0,0,3,0,13,1,6,0,3,-0.000012,0,0,0.000138,39.8125,6209,0,93,0.000207,0.00014,0,4541,0,0.000035,-0.0002,0,0,0.000175,0.000558,0.002102,0,-0.000012,20.86125,0.058495,0,6209,1668,93,0,-0.058495,1,-2,20.86125,1668,0,0,5,0.268642,0.000035,0.00079,4541,80,0.000142,1,46.88194,34,0,6900.168,0.000059,0.000057,0.000019,-0.00006,0.002175,0.0002,0.00079,-0.000002,1668,0.000004,95762354,good,filter2D,0.009324,0.018787,-50.37,-50.37 % less time of default solver time,2.014907765
0,0,1,0,12639,1,79,0,1,0,0,0,19.51677,4653.076,15682,0,12772,83,9.27763,0,0,0,0,-110,0,0,0,0,0,0,0,0.90309,0,0,15682,0,12772,0.5125,0,1,10,0.90309,13332,0,0,7,0,0,62.18521,2350,2105,19.77731,1,10.52411,240,0,97107330,0,0.235408,0.226803,0.025134,63.65532,110,0,0,13332,0,19932323,good,Reuters911_Day_64,0.011587,0.02333,-50.33,-50.33 % less time of default solver time,2.013463364
0,0,73,0,99,1,228,1,73,55575.54,0,0,2307915,8446.742,1889447,0,19228,7312655,2310064,0,0,0,48372.92,-3595391,0,0,0,0,0,0,12487.25,21.00991,1243668000,0,1889447,25710,19228,1,1243668000,1,2,20.51548,25710,0,0,39,0,84793.95,12768150,1863737,14026,3591141,1,827.7749,38,0,313487400,0,888343.8,197067,890492.8,20200020,7153064,0,1778837,25710,0,32874610,good,smt,0.004177,0.008338,-49.9,-49.9 % less time of default solver time,1.9961695
