@relation petsc_anamod_aciss_40_60NoNoise

@attribute avg-diag-dist numeric
@attribute norm1 numeric
@attribute col-variability numeric
@attribute min-nnzeros-per-row numeric
@attribute row-variability numeric
@attribute kappa numeric
@attribute ' time' numeric
@attribute ' solver' numeric
@attribute ' class' {good,fair,bad}

@data
793.8216,1.663817,98.94544,2,98.94544,95.3427,0.000346,29030070,fair
793.8216,1.663817,98.94544,2,98.94544,95.3427,0.000202,7285382,fair
793.8216,1.663817,98.94544,2,98.94544,95.3427,0.000488,36564232,fair
793.8216,1.663817,98.94544,2,98.94544,95.3427,1.79769313486E308,81986705,fair
793.8216,1.663817,98.94544,2,98.94544,95.3427,0.000257,69654763,fair
793.8216,1.663817,98.94544,2,98.94544,95.3427,0.00021,19932321,fair
793.8216,1.663817,98.94544,2,98.94544,95.3427,0.000119,36025721,good
793.8216,1.663817,98.94544,2,98.94544,95.3427,0.000185,37052868,bad
793.8216,1.663467,98.94543,2,98.94543,102.4223,0.019217,45869639,fair
793.8216,1.663467,98.94543,2,98.94543,102.4223,0.000507,32168839,fair
793.8216,1.663467,98.94543,2,98.94543,102.4223,0.000346,29030070,fair
793.8216,1.663467,98.94543,2,98.94543,102.4223,0.000214,7285382,fair
793.8216,1.663467,98.94543,2,98.94543,102.4223,0.000476,36564232,fair
793.8216,1.663467,98.94543,2,98.94543,102.4223,1.79769313486E308,81986705,fair
793.8216,1.663467,98.94543,2,98.94543,102.4223,0.000266,69654763,fair
793.8216,1.663467,98.94543,2,98.94543,102.4223,0.000219,19932321,fair
793.8216,1.663467,98.94543,2,98.94543,102.4223,0.000106,36025721,good
793.8216,1.663467,98.94543,2,98.94543,102.4223,0.000176,37052868,fair
793.8216,1.663846,98.94544,2,98.94544,102.4476,0.019364,45869639,fair
793.8216,1.663846,98.94544,2,98.94544,102.4476,0.000312,32168839,fair
793.8216,1.663846,98.94544,2,98.94544,102.4476,0.000334,29030070,fair
793.8216,1.663846,98.94544,2,98.94544,102.4476,0.00021,7285382,fair
793.8216,1.663846,98.94544,2,98.94544,102.4476,0.000539,36564232,fair
793.8216,1.663846,98.94544,2,98.94544,102.4476,1.79769313486E308,81986705,fair
793.8216,1.663846,98.94544,2,98.94544,102.4476,0.00026,69654763,fair
793.8216,1.663846,98.94544,2,98.94544,102.4476,0.000222,19932321,fair
793.8216,1.663846,98.94544,2,98.94544,102.4476,0.000108,36025721,good
793.8216,1.663846,98.94544,2,98.94544,102.4476,0.000176,37052868,fair
793.8216,1.663543,98.94544,2,98.94544,102.4152,0.019186,45869639,fair
793.8216,1.663543,98.94544,2,98.94544,102.4152,0.000499,32168839,fair
793.8216,1.663543,98.94544,2,98.94544,102.4152,0.000344,29030070,fair
793.8216,1.663543,98.94544,2,98.94544,102.4152,0.000202,7285382,fair
793.8216,1.663543,98.94544,2,98.94544,102.4152,0.000378,36564232,fair
793.8216,1.663543,98.94544,2,98.94544,102.4152,1.79769313486E308,81986705,fair
793.8216,1.663543,98.94544,2,98.94544,102.4152,0.000253,69654763,fair
793.8216,1.663543,98.94544,2,98.94544,102.4152,0.000211,19932321,fair
793.8216,1.663543,98.94544,2,98.94544,102.4152,0.000106,36025721,good
793.8216,1.663543,98.94544,2,98.94544,102.4152,0.000175,37052868,fair
793.8216,1.644497,98.94543,2,98.94543,94.88419,0.019261,45869639,fair
793.8216,1.644497,98.94543,2,98.94543,94.88419,0.000843,32168839,fair
793.8216,1.644497,98.94543,2,98.94543,94.88419,0.000154,32168837,bad
793.8216,1.644497,98.94543,2,98.94543,94.88419,0.000346,29030070,fair
793.8216,1.644497,98.94543,2,98.94543,94.88419,0.000205,7285382,fair
793.8216,1.644497,98.94543,2,98.94543,94.88419,0.000593,36564232,fair
793.8216,1.644497,98.94543,2,98.94543,94.88419,1.79769313486E308,81986705,fair
793.8216,1.644497,98.94543,2,98.94543,94.88419,0.000266,69654763,fair
793.8216,1.644497,98.94543,2,98.94543,94.88419,0.000223,19932321,fair
793.8216,1.644497,98.94543,2,98.94543,94.88419,0.000108,36025721,good
