avg-diag-dist,nnz,norm1,col-variability,min-nnzeros-per-row,row-variability,kappa, time, solver, class
0,66,0.1728286,1.7045,1,1.7045,8.75217,8.82E-06,32168837,1
5.166667,83,71,1.826075,1,1.851258,23.66667,9.06E-06,32168837,1
10.61538,153,4740747,1.505149,1,1.505149,8.038352,5.01E-06,45869639,1
10.61538,153,4740747,1.505149,1,1.505149,8.038352,1.79E-05,32168839,fair
10.61538,153,4740747,1.505149,1,1.505149,8.038352,1.00E-05,32168837,fair
10.61538,153,4740747,1.505149,1,1.505149,8.038352,1.79769313486e+308,90783920,fair
10.61538,153,4740747,1.505149,1,1.505149,8.038352,0.039596,29030070,fair
10.61538,153,4740747,1.505149,1,1.505149,8.038352,9.06E-06,7285382,fair
10.61538,153,4740747,1.505149,1,1.505149,8.038352,2.12E-05,36564232,fair
10.61538,153,4740747,1.505149,1,1.505149,8.038352,1.79769313486e+308,81986705,fair
10.61538,153,4740747,1.505149,1,1.505149,8.038352,1.29E-05,69654763,fair
10.61538,153,4740747,1.505149,1,1.505149,8.038352,1.55E-05,19932321,fair
10.61538,153,4740747,1.505149,1,1.505149,8.038352,1.12E-05,36025721,fair
10.61538,153,4740747,1.505149,1,1.505149,8.038352,0.039461,37052868,fair
21.77778,177,7.322883,3.41127,1,3.324908,3.26702,9.06E-06,32168837,1
21.77778,177,8.688191,2.06492,1,1.985202,2.849053,1.00E-05,32168837,1
5.272727,180,43727340,6.243467,4,4.554483,1339820,3.70E-05,32168837,1
14.69444,198,25210.9,8.0172,2,4.819544,87.32143,1.10E-05,32168839,-1
14.69444,198,25210.9,8.0172,2,4.819544,87.32143,1.91E-05,29030070,fair
14.69444,198,25210.9,8.0172,2,4.819544,87.32143,1.10E-05,36564232,-1
14.69444,198,25210.9,8.0172,2,4.819544,87.32143,1.79769313486e+308,81986705,fair
14.69444,198,25210.9,8.0172,2,4.819544,87.32143,6.91E-06,69654763,1
14.69444,198,25210.9,8.0172,2,4.819544,87.32143,7.15E-06,19932321,1
14.69444,198,25210.9,8.0172,2,4.819544,87.32143,7.87E-06,36025721,1
14.69444,198,25210.9,8.0172,2,4.819544,87.32143,1.10E-05,37052868,-1
21.625,202,0.000175,6.195346,1,6.195346,8.819523,1.00E-05,32168837,1
32.90566,210,13,0.845098,1,0.845098,32656.96,1.10E-05,32168837,1
18.48,224,3009444000,3.753629,1,4.262814,40611.09,9.78E-06,32168837,1
10.07895,233,1,1.522719,3,1.522719,12.60624,2.81E-05,45869639,fair
10.07895,233,1,1.522719,3,1.522719,12.60624,2.60E-05,32168839,fair
10.07895,233,1,1.522719,3,1.522719,12.60624,2.69E-05,32168837,fair
10.07895,233,1,1.522719,3,1.522719,12.60624,1.79769313486e+308,90783920,fair
10.07895,233,1,1.522719,3,1.522719,12.60624,0.00014806,29030070,fair
10.07895,233,1,1.522719,3,1.522719,12.60624,1.91E-05,7285382,1
10.07895,233,1,1.522719,3,1.522719,12.60624,5.51E-05,36564232,fair
10.07895,233,1,1.522719,3,1.522719,12.60624,1.79769313486e+308,81986705,fair
10.07895,233,1,1.522719,3,1.522719,12.60624,2.48E-05,69654763,fair
10.07895,233,1,1.522719,3,1.522719,12.60624,3.12E-05,19932321,fair
10.07895,233,1,1.522719,3,1.522719,12.60624,1.50E-05,36025721,1
10.07895,233,1,1.522719,3,1.522719,12.60624,8.15E-05,37052868,fair
45.75,315,14,0,3,0,8.60E+15,1.10E-05,32168839,fair
45.75,315,14,0,3,0,8.60E+15,1.19E-05,29030070,fair
45.75,315,14,0,3,0,8.60E+15,1.22E-05,36564232,fair
45.75,315,14,0,3,0,8.60E+15,1.79769313486e+308,81986705,fair
45.75,315,14,0,3,0,8.60E+15,3.89E-05,19932321,fair
45.75,315,14,0,3,0,8.60E+15,1.12E-05,36025721,fair
45.75,315,14,0,3,0,8.60E+15,5.96E-06,37052868,1
39.8125,321,79.72397,21.47059,2,21.47061,62.50465,2.10E-05,32168839,fair
39.8125,321,79.72397,21.47059,2,21.47061,62.50465,1.22E-05,29030070,fair
39.8125,321,79.72397,21.47059,2,21.47061,62.50465,1.98E-05,36564232,fair
39.8125,321,79.72397,21.47059,2,21.47061,62.50465,1.79769313486e+308,81986705,fair
39.8125,321,79.72397,21.47059,2,21.47061,62.50465,9.06E-06,69654763,-1
39.8125,321,79.72397,21.47059,2,21.47061,62.50465,8.11E-06,19932321,1
39.8125,321,79.72397,21.47059,2,21.47061,62.50465,8.82E-06,36025721,1
39.8125,321,79.72397,21.47059,2,21.47061,62.50465,6.91E-06,37052868,1
39.8125,321,25210.93,20.63033,2,22.1075,20.96411,2.10E-05,32168839,fair
39.8125,321,25210.93,20.63033,2,22.1075,20.96411,2.03E-05,29030070,fair
39.8125,321,25210.93,20.63033,2,22.1075,20.96411,2.19E-05,36564232,fair
39.8125,321,25210.93,20.63033,2,22.1075,20.96411,1.79769313486e+308,81986705,fair
39.8125,321,25210.93,20.63033,2,22.1075,20.96411,9.06E-06,69654763,1
39.8125,321,25210.93,20.63033,2,22.1075,20.96411,1.00E-05,19932321,-1
39.8125,321,25210.93,20.63033,2,22.1075,20.96411,7.15E-06,36025721,1
39.8125,321,25210.93,20.63033,2,22.1075,20.96411,1.12E-05,37052868,-1
7.3,347,0.7431084,1.747425,1,1.747425,4.558467,1.10E-05,32168837,1
22.18571,359,6.143375,1.928747,2,1.928747,1.287178,6.91E-06,32168839,1
22.18571,359,6.143375,1.928747,2,1.928747,1.287178,4.46E-05,29030070,fair
22.18571,359,6.143375,1.928747,2,1.928747,1.287178,1.10E-05,36564232,-1
22.18571,359,6.143375,1.928747,2,1.928747,1.287178,1.79769313486e+308,81986705,fair
22.18571,359,6.143375,1.928747,2,1.928747,1.287178,2.41E-05,37052868,fair
3.333333,376,2.02E+11,13.95856,1,15.29486,1523027,9.06E-06,32168837,1
47.48485,417,5656069,21.87443,1,21.09191,835.0568,1.10E-05,32168837,1
0,420,7602.41,2.657758,1,2.657758,3457080,1.31E-05,32168837,1
0,485,47795550,0,1,0,255379.1,1.19E-05,32168839,1
0,485,47795550,0,1,0,255379.1,0.002619,29030070,fair
0,485,47795550,0,1,0,255379.1,1.29E-05,7285382,1
0,485,47795550,0,1,0,255379.1,3.00E-05,36564232,fair
0,485,47795550,0,1,0,255379.1,1.79769313486e+308,81986705,fair
0,485,47795550,0,1,0,255379.1,0.0013549,37052868,fair
63.71242,527,18672110,21.03124,2,21.03124,20.16326,1.41E-05,32168839,fair
