NumRows, NumCols, MinNNZperRow, RowVariance, ColVariance, DiagVariance, Nonzeros, FrobeniusNorm, SymmetricFrobeniusNorm, AntiSymmetricFrobeniusNorm, OneNorm, InfinityNorm, SymmetricInfinityNorm, AntiSymmetricInfinityNorm, MaxNNZperRow, Trace, AbsTrace, MinNNZperRow, AvgNNZperRow, DummyRows, DummyRowsKind, NumericValueSymmetry1, NNZPatternSymmetry1, NumericValueSymmetry2, NNZPatternSymmetry2, RowDiagDominance, ColDiagDominancy, DiagAverage, DiagSign, DiagNNZ, LowerBW, UpperBW, RowLogValSpread, ColLogValSpread, Symmetric, Name
20002, 20002, 4, 0.282985, 0.282985, 884.196, 120004, 6489.26, 6489.26, 1.57863E-14, 88.9706, 88.9706, 88.9706, 1.44329E-15, 6, 684250, 684250, 4, 5, 0, 0, 0, 0, 1, 1, 0, 0, 34.2091, 2, 20002, 3, 3, 16.8573, 16.8573, 1, direct_order6_test_16_1_1.mat
20002, 20002, 4, 0.286477, 0.286477, 884.192, 120004, 6489.25, 6489.25, 1.57863E-14, 89.3643, 89.3643, 89.3643, 1.44329E-15, 6, 684248, 684248, 4, 5, 0, 0, 0, 0, 1, 1, 0, 0, 34.209, 2, 20002, 3, 3, 16.8573, 16.8573, 1, direct_order6_test_11_4_1.mat
20002, 20002, 4, 0.286477, 0.286477, 884.192, 120004, 6489.25, 6489.25, 1.58494E-14, 89.3643, 89.3643, 89.3643, 1.44329E-15, 6, 684248, 684248, 4, 5, 0, 0, 0, 0, 1, 1, 0, 0, 34.209, 2, 20002, 3, 3, 16.8573, 16.8573, 1, direct_order6_test_11_5_1.mat
20002, 20002, 4, 0.286477, 0.286477, 884.192, 120004, 6489.25, 6489.25, 1.58003E-14, 89.3643, 89.3643, 89.3643, 1.44329E-15, 6, 684248, 684248, 4, 5, 0, 0, 0, 0, 1, 1, 0, 0, 34.209, 2, 20002, 3, 3, 16.8573, 16.8573, 1, direct_order6_test_11_6_1.mat
20002, 20002, 4, 0.286477, 0.286477, 884.192, 120004, 6489.25, 6489.25, 1.57878E-14, 89.3643, 89.3643, 89.3643, 1.44329E-15, 6, 684248, 684248, 4, 5, 0, 0, 0, 0, 1, 1, 0, 0, 34.209, 2, 20002, 3, 3, 16.8573, 16.8573, 1, direct_order6_test_11_7_1.mat
20002, 20002, 4, 0.286477, 0.286477, 884.192, 120004, 6489.25, 6489.25, 1.58128E-14, 89.3643, 89.3643, 89.3643, 1.44329E-15, 6, 684248, 684248, 4, 5, 0, 0, 0, 0, 1, 1, 0, 0, 34.209, 2, 20002, 3, 3, 16.8573, 16.8573, 1, direct_order6_test_11_8_1.mat
20002, 20002, 4, 0.286477, 0.286477, 884.192, 120004, 6489.25, 6489.25, 1.58112E-14, 89.3643, 89.3643, 89.3643, 1.44329E-15, 6, 684248, 684248, 4, 5, 0, 0, 0, 0, 1, 1, 0, 0, 34.209, 2, 20002, 3, 3, 16.8573, 16.8573, 1, direct_order6_test_11_9_1.mat
20002, 20002, 4, 0.285701, 0.285701, 884.192, 120004, 6489.25, 6489.25, 1.57995E-14, 89.277, 89.277, 89.277, 1.44329E-15, 6, 684248, 684248, 4, 5, 0, 0, 0, 0, 1, 1, 0, 0, 34.209, 2, 20002, 3, 3, 16.8573, 16.8573, 1, direct_order6_test_12_10_1.mat
20002, 20002, 4, 0.285701, 0.285701, 884.192, 120004, 6489.25, 6489.25, 1.5787E-14, 89.277, 89.277, 89.277, 1.44329E-15, 6, 684248, 684248, 4, 5, 0, 0, 0, 0, 1, 1, 0, 0, 34.209, 2, 20002, 3, 3, 16.8573, 16.8573, 1, direct_order6_test_12_11_1.mat
20002, 20002, 4, 0.285701, 0.285701, 884.192, 120004, 6489.25, 6489.25, 1.57863E-14, 89.277, 89.277, 89.277, 1.44329E-15, 6, 684248, 684248, 4, 5, 0, 0, 0, 0, 1, 1, 0, 0, 34.209, 2, 20002, 3, 3, 16.8573, 16.8573, 1, direct_order6_test_12_12_1.mat
20002, 20002, 4, 0.285701, 0.285701, 884.192, 120004, 6489.25, 6489.25, 1.57863E-14, 89.277, 89.277, 89.277, 1.44329E-15, 6, 684248, 684248, 4, 5, 0, 0, 0, 0, 1, 1, 0, 0, 34.209, 2, 20002, 3, 3, 16.8573, 16.8573, 1, direct_order6_test_12_13_1.mat
20002, 20002, 4, 0.285701, 0.285701, 884.192, 120004, 6489.25, 6489.25, 1.5787E-14, 89.277, 89.277, 89.277, 1.44329E-15, 6, 684248, 684248, 4, 5, 0, 0, 0, 0, 1, 1, 0, 0, 34.209, 2, 20002, 3, 3, 16.8573, 16.8573, 1, direct_order6_test_12_14_1.mat
20002, 20002, 4, 0.285684, 0.285684, 884.193, 120004, 6489.25, 6489.25, 1.58011E-14, 89.2752, 89.2752, 89.2752, 1.44329E-15, 6, 684248, 684248, 4, 5, 0, 0, 0, 0, 1, 1, 0, 0, 34.209, 2, 20002, 3, 3, 16.8573, 16.8573, 1, direct_order6_test_12_1_1.mat
20002, 20002, 4, 0.285702, 0.285702, 884.192, 120004, 6489.25, 6489.25, 1.57886E-14, 89.277, 89.277, 89.277, 1.44329E-15, 6, 684248, 684248, 4, 5, 0, 0, 0, 0, 1, 1, 0, 0, 34.209, 2, 20002, 3, 3, 16.8573, 16.8573, 1, direct_order6_test_12_2_1.mat
20002, 20002, 4, 0.285702, 0.285702, 884.192, 120004, 6489.25, 6489.25, 1.5812E-14, 89.2771, 89.2771, 89.2771, 1.44329E-15, 6, 684248, 684248, 4, 5, 0, 0, 0, 0, 1, 1, 0, 0, 34.209, 2, 20002, 3, 3, 16.8573, 16.8573, 1, direct_order6_test_12_3_1.mat
20002, 20002, 4, 0.285701, 0.285701, 884.192, 120004, 6489.25, 6489.25, 1.58112E-14, 89.277, 89.277, 89.277, 1.44329E-15, 6, 684248, 684248, 4, 5, 0, 0, 0, 0, 1, 1, 0, 0, 34.209, 2, 20002, 3, 3, 16.8573, 16.8573, 1, direct_order6_test_12_4_1.mat
20002, 20002, 4, 0.285701, 0.285701, 884.192, 120004, 6489.25, 6489.25, 1.57878E-14, 89.277, 89.277, 89.277, 1.44329E-15, 6, 684248, 684248, 4, 5, 0, 0, 0, 0, 1, 1, 0, 0, 34.209, 2, 20002, 3, 3, 16.8573, 16.8573, 1, direct_order6_test_12_5_1.mat
20002, 20002, 4, 0.285701, 0.285701, 884.192, 120004, 6489.25, 6489.25, 1.57988E-14, 89.277, 89.277, 89.277, 1.44329E-15, 6, 684248, 684248, 4, 5, 0, 0, 0, 0, 1, 1, 0, 0, 34.209, 2, 20002, 3, 3, 16.8573, 16.8573, 1, direct_order6_test_12_6_1.mat
20002, 20002, 4, 0.285701, 0.285701, 884.192, 120004, 6489.25, 6489.25, 1.5787E-14, 89.277, 89.277, 89.277, 1.44329E-15, 6, 684248, 684248, 4, 5, 0, 0, 0, 0, 1, 1, 0, 0, 34.209, 2, 20002, 3, 3, 16.8573, 16.8573, 1, direct_order6_test_12_7_1.mat
20002, 20002, 4, 0.285701, 0.285701, 884.192, 120004, 6489.25, 6489.25, 1.5787E-14, 89.277, 89.277, 89.277, 1.44329E-15, 6, 684248, 684248, 4, 5, 0, 0, 0, 0, 1, 1, 0, 0, 34.209, 2, 20002, 3, 3, 16.8573, 16.8573, 1, direct_order6_test_12_8_1.mat
20002, 20002, 4, 0.285701, 0.285701, 884.192, 120004, 6489.25, 6489.25, 1.57878E-14, 89.277, 89.277, 89.277, 1.44329E-15, 6, 684248, 684248, 4, 5, 0, 0, 0, 0, 1, 1, 0, 0, 34.209, 2, 20002, 3, 3, 16.8573, 16.8573, 1, direct_order6_test_12_9_1.mat
