lambda-max-by-magnitude-im,right-bandwidth,avgdistfromdiag,symmetry,n-dummy-rows,blocksize,max-nnzeros-per-row,diag-definite,avgnnzprow,lambda-max-by-magnitude-re,ellipse-cy,nnzup,ruhe75-bound,avg-diag-dist,nnz,lambda-max-by-im-part-im,left-bandwidth,norm1,sigma-min,upband,n-struct-unsymm,lambda-min-by-magnitude-im,diagonal-average,diagonal-dominance,dummy-rows,ritz-values-r,symmetry-snorm,symmetry-fanorm,symmetry-fsnorm,colours,lambda-max-by-im-part-re,col-variability,trace-abs,ritz-values-c,nnzeros,diag-zerostart,loband,positive-fraction,trace,min-nnzeros-per-row,diagonal-sign,row-variability,nrows,lambda-max-by-real-part-im,colour-offsets,n-colours,relsymm,diagonal-variance,departure,nnzlow,n-nonzero-diags,sigma-max,dummy-rows-kind,kappa,n-ritz-values,colour-set-sizes,sigma-diag-dist,symmetry-anorm,ellipse-ax,ellipse-ay,ellipse-cx,normF,normInf,lee95-bound,lambda-max-by-real-part-re,nnzdia,trace-asquared,solver,matrix_name,solver_time,default_time,Time Difference
0,4535,4,0,0,2358,13,0,4,0,0,9616,2855328,2407.284,24790,0,5307,2270087,936210.4,4535,0,0,0.035059,-4474379,0,0,0,0,0,0,0,28.94268,186.0925,0,24790,2386,5307,0.495833,186.0925,2,1,26.7714,5308,0,0,6,0,2.540319,8657358,9866,7949,2955328,0,203.6607,240,0,14934340,0,673.8211,100000,-51.98303,8658516,4474379,0,488.377,5308,0,89269804,hydr1c_A_21,0.021217,0.00035,5962.0 % more time of default solver time
0,4535,4,0,0,2358,13,0,4,0,0,9616,2855328,2407.284,24790,0,5307,2270087,936210.4,4535,0,0,0.035059,-4474379,0,0,0,0,0,0,0,28.94268,186.0925,0,24790,2386,5307,0.495833,186.0925,2,1,26.7714,5308,0,0,6,0,2.540319,8657358,9866,7949,2955328,0,203.6607,240,0,14934340,0,673.8211,100000,-51.98303,8658516,4474379,0,488.377,5308,0,32168839,hydr1c_A_21,0.00035,0.00035,0.0 % less time of default solver time
0,4535,4,0,0,2358,13,0,4,0,0,9616,2855328,2407.284,24790,0,5307,2270087,936210.4,4535,0,0,0.035059,-4474379,0,0,0,0,0,0,0,28.94268,186.0925,0,24790,2386,5307,0.495833,186.0925,2,1,26.7714,5308,0,0,6,0,2.540319,8657358,9866,7949,2955328,0,203.6607,240,0,14934340,0,673.8211,100000,-51.98303,8658516,4474379,0,488.377,5308,0,57331597,hydr1c_A_21,0.016106,0.00035,4501.71 % more time of default solver time
0,4535,4,0,0,2358,13,0,4,0,0,9616,2855328,2407.284,24790,0,5307,2270087,936210.4,4535,0,0,0.035059,-4474379,0,0,0,0,0,0,0,28.94268,186.0925,0,24790,2386,5307,0.495833,186.0925,2,1,26.7714,5308,0,0,6,0,2.540319,8657358,9866,7949,2955328,0,203.6607,240,0,14934340,0,673.8211,100000,-51.98303,8658516,4474379,0,488.377,5308,0,12321508,hydr1c_A_21,48.80587,0.00035,13944434.29 % more time of default solver time
0,4535,4,0,0,2358,13,0,4,0,0,9616,2855328,2407.284,24790,0,5307,2270087,936210.4,4535,0,0,0.035059,-4474379,0,0,0,0,0,0,0,28.94268,186.0925,0,24790,2386,5307,0.495833,186.0925,2,1,26.7714,5308,0,0,6,0,2.540319,8657358,9866,7949,2955328,0,203.6607,240,0,14934340,0,673.8211,100000,-51.98303,8658516,4474379,0,488.377,5308,0,91068411,hydr1c_A_21,0.076598,0.00035,21785.14 % more time of default solver time
0,4535,4,0,0,2358,13,0,4,0,0,9616,2855328,2407.284,24790,0,5307,2270087,936210.4,4535,0,0,0.035059,-4474379,0,0,0,0,0,0,0,28.94268,186.0925,0,24790,2386,5307,0.495833,186.0925,2,1,26.7714,5308,0,0,6,0,2.540319,8657358,9866,7949,2955328,0,203.6607,240,0,14934340,0,673.8211,100000,-51.98303,8658516,4474379,0,488.377,5308,0,29030070,hydr1c_A_21,0.000596,0.00035,70.29 % more time of default solver time
0,4535,4,0,0,2358,13,0,4,0,0,9616,2855328,2407.284,24790,0,5307,2270087,936210.4,4535,0,0,0.035059,-4474379,0,0,0,0,0,0,0,28.94268,186.0925,0,24790,2386,5307,0.495833,186.0925,2,1,26.7714,5308,0,0,6,0,2.540319,8657358,9866,7949,2955328,0,203.6607,240,0,14934340,0,673.8211,100000,-51.98303,8658516,4474379,0,488.377,5308,0,36564233,hydr1c_A_21,0.040298,0.00035,11413.71 % more time of default solver time
0,4535,4,0,0,2358,13,0,4,0,0,9616,2855328,2407.284,24790,0,5307,2270087,936210.4,4535,0,0,0.035059,-4474379,0,0,0,0,0,0,0,28.94268,186.0925,0,24790,2386,5307,0.495833,186.0925,2,1,26.7714,5308,0,0,6,0,2.540319,8657358,9866,7949,2955328,0,203.6607,240,0,14934340,0,673.8211,100000,-51.98303,8658516,4474379,0,488.377,5308,0,81986705,hydr1c_A_21,1.79769313486E308,0.00035,inf % more time of default solver time
0,4535,4,0,0,2358,13,0,4,0,0,9616,2855328,2407.284,24790,0,5307,2270087,936210.4,4535,0,0,0.035059,-4474379,0,0,0,0,0,0,0,28.94268,186.0925,0,24790,2386,5307,0.495833,186.0925,2,1,26.7714,5308,0,0,6,0,2.540319,8657358,9866,7949,2955328,0,203.6607,240,0,14934340,0,673.8211,100000,-51.98303,8658516,4474379,0,488.377,5308,0,37052871,hydr1c_A_21,0.032087,0.00035,9067.71 % more time of default solver time
0,4535,4,0,0,2358,13,0,4,0,0,9616,2855328,2407.284,24790,0,5307,2270087,936210.4,4535,0,0,0.035059,-4474379,0,0,0,0,0,0,0,28.94268,186.0925,0,24790,2386,5307,0.495833,186.0925,2,1,26.7714,5308,0,0,6,0,2.540319,8657358,9866,7949,2955328,0,203.6607,240,0,14934340,0,673.8211,100000,-51.98303,8658516,4474379,0,488.377,5308,0,44114476,hydr1c_A_21,0.782743,0.00035,223540.86 % more time of default solver time
