lambda-max-by-magnitude-im,right-bandwidth,n-nonzero-diags,n-dummy-rows,blocksize,max-nnzeros-per-row,diag-definite,avgnnzprow,lambda-max-by-magnitude-re,ellipse-cy,nnzup,ruhe75-bound,avg-diag-dist,nnz,lambda-min-by-magnitude-re,lambda-max-by-im-part-im,left-bandwidth,norm1,sigma-min,upband,nnzeros,lambda-min-by-magnitude-im,diagonal-average,diagonal-dominance,dummy-rows,ritz-values-r,nnzlow,colours,lambda-max-by-im-part-re,col-variability,trace-abs,ritz-values-c,diag-zerostart,loband,positive-fraction,trace,min-nnzeros-per-row,diagonal-sign,row-variability,nrows,colour-offsets,n-colours,diagonal-variance,departure,dummy-rows-kind,kappa,sigma-max,colour-set-sizes,sigma-diag-dist,n-ritz-values,ellipse-ax,ellipse-ay,ellipse-cx,normF,normInf,lambda-max-by-real-part-im,lambda-max-by-real-part-re,nnzdia,avgdistfromdiag, time, solver, class
0,420,779,0,16,18,1,10,0.625,0,4994,0.8998526,200.611,11003,0.0957024,0,420,1,0.995555,420,11003,0,0.6433498,-0.1666667,0,0,4994,0,0.0957024,1.726839,653,0,1015,420,1,653,5,2,1.726839,1015,0,9,0.1244806,1.928401,0,10.44892,1.022023,0,94511.12,16,0.4521423,0,0.5478447,21.26015,1.333333,0,1,1015,10,0.00018191,36564232,-1
0,420,779,0,16,18,1,10,0.625,0,4994,0.8998526,200.611,11003,0.0957024,0,420,1,0.995555,420,11003,0,0.6433498,-0.1666667,0,0,4994,0,0.0957024,1.726839,653,0,1015,420,1,653,5,2,1.726839,1015,0,9,0.1244806,1.928401,0,10.44892,1.022023,0,94511.12,16,0.4521423,0,0.5478447,21.26015,1.333333,0,1,1015,10,1.79769313486e+308,81986705,-1
0,420,779,0,16,18,1,10,0.625,0,4994,0.8998526,200.611,11003,0.0957024,0,420,1,0.995555,420,11003,0,0.6433498,-0.1666667,0,0,4994,0,0.0957024,1.726839,653,0,1015,420,1,653,5,2,1.726839,1015,0,9,0.1244806,1.928401,0,10.44892,1.022023,0,94511.12,16,0.4521423,0,0.5478447,21.26015,1.333333,0,1,1015,10,0.00023603,69654763,-1
0,420,779,0,16,18,1,10,0.625,0,4994,0.8998526,200.611,11003,0.0957024,0,420,1,0.995555,420,11003,0,0.6433498,-0.1666667,0,0,4994,0,0.0957024,1.726839,653,0,1015,420,1,653,5,2,1.726839,1015,0,9,0.1244806,1.928401,0,10.44892,1.022023,0,94511.12,16,0.4521423,0,0.5478447,21.26015,1.333333,0,1,1015,10,0.00077128,19932321,-1
0,420,779,0,16,18,1,10,0.625,0,4994,0.8998526,200.611,11003,0.0957024,0,420,1,0.995555,420,11003,0,0.6433498,-0.1666667,0,0,4994,0,0.0957024,1.726839,653,0,1015,420,1,653,5,2,1.726839,1015,0,9,0.1244806,1.928401,0,10.44892,1.022023,0,94511.12,16,0.4521423,0,0.5478447,21.26015,1.333333,0,1,1015,10,0.00033784,36025721,-1
0,420,779,0,16,18,1,10,0.625,0,4994,0.8998526,200.611,11003,0.0957024,0,420,1,0.995555,420,11003,0,0.6433498,-0.1666667,0,0,4994,0,0.0957024,1.726839,653,0,1015,420,1,653,5,2,1.726839,1015,0,9,0.1244806,1.928401,0,10.44892,1.022023,0,94511.12,16,0.4521423,0,0.5478447,21.26015,1.333333,0,1,1015,10,0.00032711,37052868,-1
0,1800,3123,0,76,1310,0,6,0.002150298,0,5581,0.08645941,792.7765,11119,0.000351332,0,1763,2.957396,0.0896009,1800,11119,0,0.003899085,-1.072868,0,0,3725,0,0.000615978,295.84,7.069041,0,1813,1763,0.5813953,7.069041,2,1,295.84,1813,0,7,0.03972554,0.04062131,0,512.5285,1.610171,0,1327519,43,1.30505,0.002339745,0.3050501,4.579824,2.99671,0,1.6101,1813,6,0.0014067,45869639,-1
0,1800,3123,0,76,1310,0,6,0.002150298,0,5581,0.08645941,792.7765,11119,0.000351332,0,1763,2.957396,0.0896009,1800,11119,0,0.003899085,-1.072868,0,0,3725,0,0.000615978,295.84,7.069041,0,1813,1763,0.5813953,7.069041,2,1,295.84,1813,0,7,0.03972554,0.04062131,0,512.5285,1.610171,0,1327519,43,1.30505,0.002339745,0.3050501,4.579824,2.99671,0,1.6101,1813,6,0.00012994,32168839,1
0,1800,3123,0,76,1310,0,6,0.002150298,0,5581,0.08645941,792.7765,11119,0.000351332,0,1763,2.957396,0.0896009,1800,11119,0,0.003899085,-1.072868,0,0,3725,0,0.000615978,295.84,7.069041,0,1813,1763,0.5813953,7.069041,2,1,295.84,1813,0,7,0.03972554,0.04062131,0,512.5285,1.610171,0,1327519,43,1.30505,0.002339745,0.3050501,4.579824,2.99671,0,1.6101,1813,6,1.79769313486e+308,90783920,-1
0,1800,3123,0,76,1310,0,6,0.002150298,0,5581,0.08645941,792.7765,11119,0.000351332,0,1763,2.957396,0.0896009,1800,11119,0,0.003899085,-1.072868,0,0,3725,0,0.000615978,295.84,7.069041,0,1813,1763,0.5813953,7.069041,2,1,295.84,1813,0,7,0.03972554,0.04062131,0,512.5285,1.610171,0,1327519,43,1.30505,0.002339745,0.3050501,4.579824,2.99671,0,1.6101,1813,6,0.00033712,29030070,-1
0,1800,3123,0,76,1310,0,6,0.002150298,0,5581,0.08645941,792.7765,11119,0.000351332,0,1763,2.957396,0.0896009,1800,11119,0,0.003899085,-1.072868,0,0,3725,0,0.000615978,295.84,7.069041,0,1813,1763,0.5813953,7.069041,2,1,295.84,1813,0,7,0.03972554,0.04062131,0,512.5285,1.610171,0,1327519,43,1.30505,0.002339745,0.3050501,4.579824,2.99671,0,1.6101,1813,6,0.00011086,7285382,1
0,1800,3123,0,76,1310,0,6,0.002150298,0,5581,0.08645941,792.7765,11119,0.000351332,0,1763,2.957396,0.0896009,1800,11119,0,0.003899085,-1.072868,0,0,3725,0,0.000615978,295.84,7.069041,0,1813,1763,0.5813953,7.069041,2,1,295.84,1813,0,7,0.03972554,0.04062131,0,512.5285,1.610171,0,1327519,43,1.30505,0.002339745,0.3050501,4.579824,2.99671,0,1.6101,1813,6,0.00021505,36564232,-1
0,1800,3123,0,76,1310,0,6,0.002150298,0,5581,0.08645941,792.7765,11119,0.000351332,0,1763,2.957396,0.0896009,1800,11119,0,0.003899085,-1.072868,0,0,3725,0,0.000615978,295.84,7.069041,0,1813,1763,0.5813953,7.069041,2,1,295.84,1813,0,7,0.03972554,0.04062131,0,512.5285,1.610171,0,1327519,43,1.30505,0.002339745,0.3050501,4.579824,2.99671,0,1.6101,1813,6,1.79769313486e+308,81986705,-1
0,1800,3123,0,76,1310,0,6,0.002150298,0,5581,0.08645941,792.7765,11119,0.000351332,0,1763,2.957396,0.0896009,1800,11119,0,0.003899085,-1.072868,0,0,3725,0,0.000615978,295.84,7.069041,0,1813,1763,0.5813953,7.069041,2,1,295.84,1813,0,7,0.03972554,0.04062131,0,512.5285,1.610171,0,1327519,43,1.30505,0.002339745,0.3050501,4.579824,2.99671,0,1.6101,1813,6,0.00016189,69654763,-1
