avg-diag-dist,norm1,col-variability,min-nnzeros-per-row,row-variability,kappa, time, solver, class
790.0977,1.075141,11.9998,2,11.9998,12464210,0.06416556,85490469,fair
790.0977,1.075141,11.9998,2,11.9998,12464210,0.09723326,30870722,fair
790.0977,1.075141,11.9998,2,11.9998,12464210,0.2010524,36564233,fair
790.0977,1.075141,11.9998,2,11.9998,12464210,0.05259949,68908713,fair
790.0977,1.075141,11.9998,2,11.9998,12464210,0.0021939,36564232,fair
790.0977,1.075141,11.9998,2,11.9998,12464210,0.07500323,7285383,fair
790.0977,1.075141,11.9998,2,11.9998,12464210,0.1614937,75830645,fair
790.0977,1.075141,11.9998,2,11.9998,12464210,0.01114296,81986705,fair
790.0977,1.075141,11.9998,2,11.9998,12464210,0.1049697,29553943,fair
790.0977,1.075141,11.9998,2,11.9998,12464210,0.1410753,69654761,fair
790.0977,1.075141,11.9998,2,11.9998,12464210,0.00045276,69654763,1
790.0977,1.075141,11.9998,2,11.9998,12464210,0.03697578,32168840,fair
790.0977,1.075141,11.9998,2,11.9998,12464210,0.02130254,37052871,fair
790.0977,1.075141,11.9998,2,11.9998,12464210,0.1544517,80361464,fair
790.0977,1.075141,11.9998,2,11.9998,12464210,0.1602519,80361465,fair
790.0977,1.075141,11.9998,2,11.9998,12464210,0.02184685,1216556,fair
790.0977,1.075141,11.9998,2,11.9998,12464210,0.141034,38678401,fair
790.0977,1.075141,11.9998,2,11.9998,12464210,0.5435476,44114476,fair
790.0977,1.075141,11.9998,2,11.9998,12464210,0.2012401,36564235,fair
790.0977,1.075141,11.9998,2,11.9998,12464210,0.01820344,36025721,fair
790.0977,1.075141,11.9998,2,11.9998,12464210,0.1601716,75830646,fair
790.0977,1.075141,11.9998,2,11.9998,12464210,0.06412229,85490471,fair
790.0977,1.075141,11.9998,2,11.9998,12464210,0.1524651,18524981,fair
790.0977,1.075141,11.9998,2,11.9998,12464210,0.021241,37052869,fair
790.0977,1.075141,11.9998,2,11.9998,12464210,0.03009602,37052868,fair
793.6791,7.749682,261.0569,2,261.0569,263.5557,0.0003829,32168839,fair
793.6791,7.749682,261.0569,2,261.0569,263.5557,0.00022292,29030070,fair
793.6791,7.749682,261.0569,2,261.0569,263.5557,0.0020394,36564232,fair
793.6791,7.749682,261.0569,2,261.0569,263.5557,1.79769313486e+308,81986705,fair
793.6791,7.749682,261.0569,2,261.0569,263.5557,0.00015211,69654763,fair
793.6791,7.749682,261.0569,2,261.0569,263.5557,0.02094815,75830647,fair
793.6791,7.749682,261.0569,2,261.0569,263.5557,0.04291936,85490472,fair
793.6791,7.749682,261.0569,2,261.0569,263.5557,8.80E-05,37052868,1
793.8216,4.910904,270.5304,2,270.5304,164.5511,0.117846,45869637,fair
793.8216,4.910904,270.5304,2,270.5304,164.5511,0.09516618,47942867,fair
