n-nonzero-diags,avg-diag-dist,nnz,norm1,col-variability,min-nnzeros-per-row,row-variability,kappa, time, solver, class
7,1.714286,120004,88.3012,16.85731,4,16.85731,80.48381,0.0014417,49834418,-1
7,1.714286,120004,88.3012,16.85731,4,16.85731,80.48381,0.00095701,43373442,-1
7,1.714286,120004,88.3012,16.85731,4,16.85731,80.48381,0.0074832,91068411,-1
7,1.714286,120004,88.3012,16.85731,4,16.85731,80.48381,0.0074396,91068410,-1
7,1.714286,120004,88.3012,16.85731,4,16.85731,80.48381,0.00045586,18868441,-1
7,1.714286,120004,88.3012,16.85731,4,16.85731,80.48381,0.0074096,91068408,-1
7,1.714286,120004,88.3012,16.85731,4,16.85731,80.48381,1.79769313486e+308,90783920,-1
7,1.714286,120004,88.3012,16.85731,4,16.85731,80.48381,0.00071883,99720138,-1
7,1.714286,120004,88.3012,16.85731,4,16.85731,80.48381,0.0002501,26415433,1
7,1.714286,120004,88.3012,16.85731,4,16.85731,80.48381,1.79769313486e+308,68908713,-1
7,1.714286,120004,88.3012,16.85731,4,16.85731,80.48381,0.00045896,75830645,-1
7,1.714286,120004,88.3012,16.85731,4,16.85731,80.48381,0.0010781,69654762,-1
7,1.714286,120004,88.3012,16.85731,4,16.85731,80.48381,0.0014508,19932323,-1
7,1.714286,120004,88.3012,16.85731,4,16.85731,80.48381,0.0010829,80361467,-1
7,1.714286,120004,88.3012,16.85731,4,16.85731,80.48381,0.00095391,38678401,-1
7,1.714286,120004,88.3012,16.85731,4,16.85731,80.48381,0.00092006,38678402,-1
7,1.714286,120004,88.3012,16.85731,4,16.85731,80.48381,0.00091791,38678403,-1
7,1.714286,120004,88.3012,16.85731,4,16.85731,80.48381,0.00072217,36025721,-1
7,1.714286,120004,88.3012,16.85731,4,16.85731,80.48381,0.011133,85490472,-1
7,1.714286,120004,246.8564,3.161254,4,2.161254,8384.45,0.24086,90197667,-1
7,1.714286,120004,246.8564,3.161254,4,2.161254,8384.45,0.00072074,89269803,-1
7,1.714286,120004,246.8564,3.161254,4,2.161254,8384.45,0.00072122,89269801,-1
7,1.714286,120004,246.8564,3.161254,4,2.161254,8384.45,0.00071406,7285384,-1
7,1.714286,120004,246.8564,3.161254,4,2.161254,8384.45,0.02978,59072884,-1
7,1.714286,120004,246.8564,3.161254,4,2.161254,8384.45,0.033303,49598910,-1
7,1.714286,120004,246.8564,3.161254,4,2.161254,8384.45,0.033092,49598912,-1
7,1.714286,120004,246.8564,3.161254,4,2.161254,8384.45,0.00071597,30870721,-1
7,1.714286,120004,246.8564,3.161254,4,2.161254,8384.45,0.00071907,30870720,-1
7,1.714286,120004,246.8564,3.161254,4,2.161254,8384.45,0.00071907,32168838,-1
7,1.714286,120004,246.8564,3.161254,4,2.161254,8384.45,0.0014482,49834418,-1
7,1.714286,120004,246.8564,3.161254,4,2.161254,8384.45,0.10679,43373442,-1
7,1.714286,120004,246.8564,3.161254,4,2.161254,8384.45,0.000458,18868441,1
7,1.714286,120004,246.8564,3.161254,4,2.161254,8384.45,1.79769313486e+308,90783920,-1
7,1.714286,120004,246.8564,3.161254,4,2.161254,8384.45,0.00071597,99720138,-1
7,1.714286,120004,246.8564,3.161254,4,2.161254,8384.45,0.033716,26415433,-1
7,1.714286,120004,246.8564,3.161254,4,2.161254,8384.45,0.00046492,75830645,1
7,1.714286,120004,246.8564,3.161254,4,2.161254,8384.45,0.0010841,69654762,-1
7,1.714286,120004,246.8564,3.161254,4,2.161254,8384.45,0.0014539,19932323,-1
7,1.714286,120004,246.8564,3.161254,4,2.161254,8384.45,0.0010722,80361467,-1
7,1.714286,120004,246.8564,3.161254,4,2.161254,8384.45,0.000911,38678401,-1
7,1.714286,120004,246.8564,3.161254,4,2.161254,8384.45,0.00091481,38678402,-1
7,1.714286,120004,246.8564,3.161254,4,2.161254,8384.45,0.00091577,38678403,-1
7,1.714286,120004,246.8564,3.161254,4,2.161254,8384.45,0.00071478,36025721,-1
7,1.714286,120004,246.8564,3.161254,4,2.161254,8384.45,0.011029,85490472,-1
7,1.714286,120004,248.8373,16.97473,4,16.97473,152.7357,0.0068867,90197667,-1
7,1.714286,120004,248.8373,16.97473,4,16.97473,152.7357,0.00071883,89269803,-1
7,1.714286,120004,248.8373,16.97473,4,16.97473,152.7357,0.00071192,89269801,-1
7,1.714286,120004,248.8373,16.97473,4,16.97473,152.7357,0.00071979,7285384,-1
7,1.714286,120004,248.8373,16.97473,4,16.97473,152.7357,0.00072217,59072884,-1
7,1.714286,120004,248.8373,16.97473,4,16.97473,152.7357,0.00048399,49598910,-1
7,1.714286,120004,248.8373,16.97473,4,16.97473,152.7357,0.00048208,49598912,-1
7,1.714286,120004,248.8373,16.97473,4,16.97473,152.7357,0.00071526,30870721,-1
7,1.714286,120004,248.8373,16.97473,4,16.97473,152.7357,0.00072408,30870720,-1
7,1.714286,120004,248.8373,16.97473,4,16.97473,152.7357,0.00072122,32168838,-1
7,1.714286,120004,248.8373,16.97473,4,16.97473,152.7357,0.0014522,49834418,-1
7,1.714286,120004,248.8373,16.97473,4,16.97473,152.7357,0.00096011,43373442,-1
7,1.714286,120004,248.8373,16.97473,4,16.97473,152.7357,0.0076091,91068410,-1
7,1.714286,120004,248.8373,16.97473,4,16.97473,152.7357,0.000458,18868441,-1
7,1.714286,120004,248.8373,16.97473,4,16.97473,152.7357,0.0074208,91068408,-1
7,1.714286,120004,248.8373,16.97473,4,16.97473,152.7357,1.79769313486e+308,90783920,-1
7,1.714286,120004,248.8373,16.97473,4,16.97473,152.7357,0.00071597,99720138,-1
7,1.714286,120004,248.8373,16.97473,4,16.97473,152.7357,0.00024891,26415433,1
7,1.714286,120004,248.8373,16.97473,4,16.97473,152.7357,1.79769313486e+308,68908713,-1
7,1.714286,120004,248.8373,16.97473,4,16.97473,152.7357,0.00046206,75830645,-1
7,1.714286,120004,248.8373,16.97473,4,16.97473,152.7357,0.0010731,69654762,-1
7,1.714286,120004,248.8373,16.97473,4,16.97473,152.7357,0.0014372,19932323,-1
7,1.714286,120004,248.8373,16.97473,4,16.97473,152.7357,0.001087,80361467,-1
7,1.714286,120004,248.8373,16.97473,4,16.97473,152.7357,0.00091481,38678401,-1
7,1.714286,120004,248.8373,16.97473,4,16.97473,152.7357,0.00091791,38678402,-1
7,1.714286,120004,248.8373,16.97473,4,16.97473,152.7357,0.00091219,38678403,-1
7,1.714286,120004,248.8373,16.97473,4,16.97473,152.7357,0.00072098,36025721,-1
7,1.714286,120004,248.8373,16.97473,4,16.97473,152.7357,0.011003,85490472,-1
7,1.714286,120004,88.5575,16.85731,4,16.85731,81.2549,0.0045843,90197667,-1
7,1.714286,120004,88.5575,16.85731,4,16.85731,81.2549,0.000736,89269803,-1
7,1.714286,120004,88.5575,16.85731,4,16.85731,81.2549,0.00071311,89269801,-1
7,1.714286,120004,88.5575,16.85731,4,16.85731,81.2549,0.00071573,7285384,-1
7,1.714286,120004,88.5575,16.85731,4,16.85731,81.2549,0.00072384,59072884,-1
7,1.714286,120004,88.5575,16.85731,4,16.85731,81.2549,0.00048208,49598910,-1
7,1.714286,120004,88.5575,16.85731,4,16.85731,81.2549,0.00047898,49598912,-1
7,1.714286,120004,88.5575,16.85731,4,16.85731,81.2549,0.00072217,30870721,-1
7,1.714286,120004,88.5575,16.85731,4,16.85731,81.2549,0.00072908,30870720,-1
7,1.714286,120004,88.5575,16.85731,4,16.85731,81.2549,0.00072312,32168838,-1
7,1.714286,120004,88.5575,16.85731,4,16.85731,81.2549,0.001488,49834418,-1
7,1.714286,120004,88.5575,16.85731,4,16.85731,81.2549,0.00047898,57331600,-1
7,1.714286,120004,88.5575,16.85731,4,16.85731,81.2549,0.00095892,43373442,-1
7,1.714286,120004,88.5575,16.85731,4,16.85731,81.2549,0.0078444,91068410,-1
7,1.714286,120004,88.5575,16.85731,4,16.85731,81.2549,0.00045705,18868441,-1
7,1.714286,120004,88.5575,16.85731,4,16.85731,81.2549,0.0074108,91068408,-1
7,1.714286,120004,88.5575,16.85731,4,16.85731,81.2549,1.79769313486e+308,90783920,-1
7,1.714286,120004,88.5575,16.85731,4,16.85731,81.2549,0.00071597,99720138,-1
7,1.714286,120004,88.5575,16.85731,4,16.85731,81.2549,0.00024199,26415433,1
7,1.714286,120004,88.5575,16.85731,4,16.85731,81.2549,1.79769313486e+308,68908713,-1
7,1.714286,120004,88.5575,16.85731,4,16.85731,81.2549,0.00046396,75830645,-1
7,1.714286,120004,88.5575,16.85731,4,16.85731,81.2549,0.001066,69654762,-1
7,1.714286,120004,88.5575,16.85731,4,16.85731,81.2549,0.0014195,19932323,-1
7,1.714286,120004,88.5575,16.85731,4,16.85731,81.2549,0.00091386,38678401,-1
7,1.714286,120004,88.5575,16.85731,4,16.85731,81.2549,0.00091481,38678402,-1
7,1.714286,120004,88.5575,16.85731,4,16.85731,81.2549,0.00091386,38678403,-1
7,1.714286,120004,88.5575,16.85731,4,16.85731,81.2549,0.00071502,36025721,-1
7,1.714286,120004,88.5575,16.85731,4,16.85731,81.2549,0.010975,85490472,-1
3,0.6666667,30001,0.6365642,2.575157,2,2.575157,3.582945,0.00076389,90197667,-1
3,0.6666667,30001,0.6365642,2.575157,2,2.575157,3.582945,0.00023913,89269803,-1
3,0.6666667,30001,0.6365642,2.575157,2,2.575157,3.582945,0.00024009,89269801,-1
3,0.6666667,30001,0.6365642,2.575157,2,2.575157,3.582945,0.0002389,7285384,-1
3,0.6666667,30001,0.6365642,2.575157,2,2.575157,3.582945,0.00055504,59072884,-1
3,0.6666667,30001,0.6365642,2.575157,2,2.575157,3.582945,0.00043702,49598910,-1
3,0.6666667,30001,0.6365642,2.575157,2,2.575157,3.582945,0.00044203,49598912,-1
3,0.6666667,30001,0.6365642,2.575157,2,2.575157,3.582945,0.00024009,30870721,-1
3,0.6666667,30001,0.6365642,2.575157,2,2.575157,3.582945,0.00023913,30870720,-1
3,0.6666667,30001,0.6365642,2.575157,2,2.575157,3.582945,0.00024199,32168838,-1
3,0.6666667,30001,0.6365642,2.575157,2,2.575157,3.582945,0.00047684,49834418,-1
3,0.6666667,30001,0.6365642,2.575157,2,2.575157,3.582945,0.0014093,43373442,-1
3,0.6666667,30001,0.6365642,2.575157,2,2.575157,3.582945,0.0038908,91068411,-1
3,0.6666667,30001,0.6365642,2.575157,2,2.575157,3.582945,0.0039127,91068410,-1
3,0.6666667,30001,0.6365642,2.575157,2,2.575157,3.582945,0.00014997,18868441,1
3,0.6666667,30001,0.6365642,2.575157,2,2.575157,3.582945,0.0039508,91068408,-1
3,0.6666667,30001,0.6365642,2.575157,2,2.575157,3.582945,1.79769313486e+308,90783920,-1
3,0.6666667,30001,0.6365642,2.575157,2,2.575157,3.582945,0.0002389,99720138,-1
