145,z,pteqr,HPD,band,none,no,none,none,to be usedd with ZHBTRD,542
146,z,hbtrd,HPD,band,none,no,none,none,,551
147,c,pteqr,HPD,band,none,yes,none,none,to be usedd with CHBTRD,540
148,c,hbtrd,HPD,band,none,yes,none,none,,550
149,z,pteqr,HPD,band,none,yes,none,none,to be usedd with ZHBTRD,542
150,z,hbtrd,HPD,band,none,yes,none,none,,551
151,c,pteqr,HPD,tridiagonal,none,no,none,none,,540
152,z,pteqr,HPD,tridiagonal,none,no,none,none,,542
153,c,pteqr,HPD,tridiagonal,none,yes,none,none,,540
154,z,pteqr,HPD,tridiagonal,none,yes,none,none,,542
155,c,hseqr,upper Hessenberg,full,none,no,none,none,,552
156,z,hseqr,upper Hessenberg,full,none,no,none,none,,553
157,c,hseqr,upper Hessenberg,full,none,yes,none,none,to be used with CHSEIN,552
158,c,hsein,upper Hessenberg,full,none,yes,none,none,,554
159,z,hseqr,upper Hessenberg,full,none,yes,none,none,to be used with ZHSEIN,553
160,z,hsein,upper Hessenberg,full,none,yes,none,none,,555
