124,d,gges,no,eigen,generalized,general,full,none,no,yes,no,,579
125,s,ggesx,no,eigen,generalized,general,full,none,no,yes,yes,,580
126,d,ggesx,no,eigen,generalized,general,full,none,no,yes,yes,,581
127,c,hegv,yes,eigen,generalized,Hermitian,full,No,no/yes,none,none,,582
128,z,hegv,yes,eigen,generalized,Hermitian,full,No,no/yes,none,none,,583
129,c,hegvd,yes,eigen,generalized,Hermitian,full,No,yes,none,none,faster while more memory is required,584
130,z,hegvd,yes,eigen,generalized,Hermitian,full,No,yes,none,none,faster while more memory is required,585
131,c,hegvx,yes,eigen,generalized,Hermitian,full,Yes,no/yes,none,none,,586
132,z,hegvx,yes,eigen,generalized,Hermitian,full,Yes,no/yes,none,none,,587
133,c,hpgv,yes,eigen,generalized,Hermitian,packed,No,no/yes,none,none,,588
134,z,hpgv,yes,eigen,generalized,Hermitian,packed,No,no/yes,none,none,,589
135,c,hpgvd,yes,eigen,generalized,Hermitian,packed,No,yes,none,none,faster while more memory is required,590
136,z,hpgvd,yes,eigen,generalized,Hermitian,packed,No,yes,none,none,faster while more memory is required,591
137,c,hpgvx,yes,eigen,generalized,Hermitian,packed,Yes,no/yes,none,none,,592
138,z,hpgvx,yes,eigen,generalized,Hermitian,packed,Yes,no/yes,none,none,,593
139,c,hbgv,yes,eigen,generalized,Hermitian,band,No,no/yes,none,none,,594
140,z,hbgv,yes,eigen,generalized,Hermitian,band,No,no/yes,none,none,,595
141,c,hbgvd,yes,eigen,generalized,Hermitian,band,No,yes,none,none,faster while more memory is required,596
142,z,hbgvd,yes,eigen,generalized,Hermitian,band,No,yes,none,none,faster while more memory is required,597
143,c,hbgvx,yes,eigen,generalized,Hermitian,band,Yes,no/yes,none,none,,598
144,z,hbgvx,yes,eigen,generalized,Hermitian,band,Yes,no/yes,none,none,,599
145,c,ggev,yes,eigen,generalized,general,full,none,no/yes,no,no,,600
146,z,ggev,yes,eigen,generalized,general,full,none,no/yes,no,no,,601
147,c,ggevx,yes,eigen,generalized,general,full,none,no/yes,no,yes,,602
148,z,ggevx,yes,eigen,generalized,general,full,none,no/yes,no,yes,,603
149,c,gges,yes,eigen,generalized,general,full,none,no,yes,no,,604
150,z,gges,yes,eigen,generalized,general,full,none,no,yes,no,,605
151,c,ggesx,yes,eigen,generalized,general,full,none,no,yes,yes,,606
152,z,ggesx,yes,eigen,generalized,general,full,none,no,yes,yes,,607
153,s,sytrd,no,Hessenberg,standard,symmetric,full,,,,,,608
154,d,sytrd,no,Hessenberg,standard,symmetric,full,,,,,,609
155,s,sptrd,no,Hessenberg,standard,symmetric,packed,,,,,,610
156,d,sptrd,no,Hessenberg,standard,symmetric,packed,,,,,,611
157,s,sbtrd,no,Hessenberg,standard,symmetric,band,,,,,,612
158,d,sbtrd,no,Hessenberg,standard,symmetric,band,,,,,,613
159,c,hetrd,yes,Hessenberg,standard,Hermitian,full,,,,,,614
160,z,hetrd,yes,Hessenberg,standard,Hermitian,full,,,,,,615
161,c,hptrd,yes,Hessenberg,standard,Hermitian,packed,,,,,,616
162,z,hptrd,yes,Hessenberg,standard,Hermitian,packed,,,,,,617
163,c,hbtrd,yes,Hessenberg,standard,Hermitian,band,,,,,,618
164,z,hbtrd,yes,Hessenberg,standard,Hermitian,band,,,,,,619
165,s,gehrd,no,Hessenberg,standard,general,full,,,,,,620
166,d,gehrd,no,Hessenberg,standard,general,full,,,,,,621
167,c,gehrd,yes,Hessenberg,standard,general,full,,,,,,622
168,z,gehrd,yes,Hessenberg,standard,general,full,,,,,,623
169,s,gghrd,no,Hessenberg,generalized,general,full,,,,,,624
170,d,gghrd,no,Hessenberg,generalized,general,full,,,,,,625
171,c,gghrd,ye,Hessenberg,generalized,general,full,,,,,,626
172,z,gghrd,ye,Hessenberg,generalized,general,full,,,,,,627
173,s,disna,no,cndNumber_of_evtrs,standard,symmetric,,,,,,,628
174,d,disna,no,cndNumber_of_evtrs,standard,symmetric,,,,,,,629
175,s,disna,yes,cndNumber_of_evtrs,standard,Hermitian,,,,,,,628
176,d,disna,yes,cndNumber_of_evtrs,standard,Hermitian,,,,,,,629
177,s,trsna,no,cndNumber_of_evtrs,standard,block upper triangular,,,,,,,630
178,d,trsna,no,cndNumber_of_evtrs,standard,block upper triangular,,,,,,,631
